Respondent ID,Collector ID,Start Date,End Date,Which CNCF Project(s) are you maintaining/working with?,Where are you based (part of the world)?,Do you feel that CNCF reached out to collaborate and gather info about your needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF staff responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.",,"Would you recommend CNCF to other open source projects, and why?10 - strongly agree, 1 - strongly disagree.",,"What diversity efforts could CNCF help out with for your initiatives (e.g., maintainers, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
13083209359,409521685,10/29/2021 02:05:43 AM,10/29/2021 02:14:39 AM,Kubernetes,North America,"Yes, and my needs were generally met",,8,,9,,10,Community Growth and the Marketing Machine,"A diversity-based speaker bank?  Oh, any maybe some ""Charity of the Month"" type efforts for donation matching.",Sessions in larger cities for vaccination tents or more free masks.  Things to help push local gatherings out of the pandemic.,Once the pandemic is functionally over: a speaker travel fund for importing speakers to meetups.,
13083013120,409521685,10/29/2021 01:06:27 AM,10/29/2021 01:09:26 AM,"Kubernetes, Helm, OSM, Krustlet",North America,"Yes, and my needs were generally met",,10,,10,,10,,Helping source maintainers for maintainer programs,My needs are being met with current marketing efforts,None in addition to what's already there,
13081618556,409521685,10/28/2021 05:11:19 PM,10/28/2021 05:17:44 PM,"kubeedge, kubernetes",North America,"Yes, and my needs were generally met",,9,,10,,10,Very wide spectrum of projects and people in cloud native world gives very good use cases.,Speakers,Webinars,None,
13080845890,409521685,10/28/2021 11:37:38 AM,10/28/2021 11:39:48 AM,"Thanos, Prometheus, Kubernetes Monitoring Mixins",Europe,"Yes, and my needs were generally met",,10,,10,,9,,not sure,not sure,not sure,
13080751372,409521685,10/28/2021 10:41:13 AM,10/28/2021 10:44:16 AM,"Prometheus, Cortex, OpenTelemetry, Kubernetes",Europe,"Yes, and my needs were generally met",,8,,10,,9,,diversity,hackathons,-,
13080146686,409521685,10/28/2021 04:18:02 AM,10/28/2021 05:13:19 AM,"Kubernetes, Keptn, Argo",Oceania,"Yes, and my needs were generally met",,9,,10,,10,"Community, Diversity, Inclusion, Support",Scholarships,Webinars,None that I can think of,
13077591351,409521685,10/27/2021 02:24:24 PM,10/27/2021 02:28:50 PM,"KubeEdge, Volcano, Karmada",Asia,"Yes, and my needs were generally met",,9,,10,,9,,end user commuinty in asia,project interviews and blog posts,Localized commuinty event (e.g. meetup) platform in China,
13074801579,409521685,10/26/2021 07:02:31 PM,10/26/2021 07:07:35 PM,"Kubernetes, helm",Europe,"Yes, and my needs were generally met",,7,,10,,10,,Stickers and marketing,Webinars dedicated to students in Tunisia and booth in engineering universities,None,
13073653220,409521685,10/26/2021 11:38:02 AM,10/26/2021 11:42:20 AM,"Kubernetes, Kyverno (at least currently)",Europe,"Yes, and my needs were generally met",,8,,7,,8,I think as long as you are close to the topics within the CNCF joining as a project makes a lot of sense.,currently fine with our efforts,looking forward to in-person events again,pretty happy tbh,
13073606244,409521685,10/26/2021 11:08:20 AM,10/26/2021 11:15:11 AM,Kubernetes and tools related to running on top of kubernetes + observability,Europe,"Yes, and my needs were generally met",,9,,10,,10,,none,"We've previously had Ihor join in person meetup and do presentation, it was greatly appreciated! That helps me when marketing for events!",none,
13072589910,409521685,10/26/2021 02:35:56 AM,10/26/2021 02:42:29 AM,Kubernetes,North America,Other (please specify),Only been a member for a couple weeks.,7,,10,,10,,Documentation / localization can always use more folks / maintainers,Potentially swag / codes once we start going back to in person meetups.,n/a,"I appreciate the communication / many ways to chat with folks but it can get overwhelming. It would be awesome to get a weekly digest so we don't miss important things. Or another form of ""week/month in review"" that is digestible and could even call out upcoming events / meetings."
13072103811,409521685,10/25/2021 11:11:43 PM,10/25/2021 11:31:37 PM,any,Other:,Other (please specify),"No, but I didn't expect them to",N/A,,N/A,,5,I am obliged to answer the question,n/a,n/a,n/a,
13072001840,409521685,10/25/2021 10:41:45 PM,10/25/2021 10:54:07 PM,Kubernetes,Europe,Other (please specify),"The project I work with (Tilt) is not a CNCF project, but a tool that helps developers doing development using Kubernetes. I find it quite challenging to engage with the community in a way that doesn't come off as salesy (even though we're open source and not selling anything), and to be honest I'm not sure how to deal with that or whether the CNCF could help.",5,,N/A,,5,In the past I'd've replied with a strong yes. Over time I've seen both borderline and overtly toxic behaviors from members of this community (e.g. Ambassadors) go unchecked so I'm not so sure anymore.,--,--,--,
13071644995,409521685,10/25/2021 08:37:30 PM,10/25/2021 08:43:37 PM,K8s and others,North America,"Yes, and my needs were generally met",,9,,10,,10,"If you are cloud native, the cncf community is the driving force in the space ",Training scholarships ,Broad training initiatives across projects ,I think things are balanced ,Continue to avoid being king-makers
13071422473,409521685,10/25/2021 07:23:18 PM,10/25/2021 07:25:32 PM,Kubernetes SIG Docs(Japanese localization),Asia,"Yes, but my needs were not generally met",,9,,9,,8,,N/A,webinars probably?,N/A,
13071264600,409521685,10/25/2021 06:30:27 PM,10/25/2021 06:35:28 PM,Kubernetes,Asia,"Yes, and my needs were generally met",,6,,10,,9,"Amazing collaboration, very supportive, openly discuss any initiatives/ideas that can provide our needs, etc.","diversity scholarships are there, but need idea on how to increase the number of applicants from Indonesia (need to research on why first)",webinars and (hopefully) in-person meetups after pandemic is over,all good for now,
13071195912,409521685,10/25/2021 06:07:44 PM,10/25/2021 06:12:57 PM,"Kubernetes, Kubevirt, Operator Framework, OCM",North America,"Yes, and my needs were generally met",,1,,7,,1,"too many projects under one umbrella, project support resources spread too thin and the cncf/kubecon conference(s) cover too many topics","scholarships, funding for travel/hotel ",separate out the day zero CNCF project days into different conferences from the kubecon event. ,bitergia platform for analytics on community participation,nuff said!
12981527724,409521685,09/20/2021 08:48:37 PM,09/20/2021 08:51:52 PM,"Kubernetes, Argo CD",Europe,"Yes, and my needs were generally met",,9,,9,,9,,I'm happy,Happy too,-,
12974770071,409521685,09/17/2021 12:53:35 PM,09/17/2021 12:56:46 PM,"Prometheus, Argo",Europe,"Yes, and my needs were generally met",,7,,10,,10,Structured approach,Scholarships for people who want to start a course by the Linux Foundation,"Promote independent content creators and open source maintainers -- a lot of times, the same people are highlighted ",Provide Ambassadors with a platform to easily connect with each other,
12972104478,409521685,09/16/2021 03:52:50 PM,09/16/2021 04:02:53 PM,"Kubernetes, LitmusChaos",Asia,"Yes, and my needs were generally met",,8,,8,,8,It has a good support system & a wider array of projects that correlate to better management.,Scholarships,N/A,Better end user community engagement,N/A
12971430792,409521685,09/16/2021 11:05:10 AM,09/16/2021 11:07:36 AM,"Contour, Harbor",Europe,"Yes, and my needs were generally met",,5,,9,,10,community!!!,none,merch for meetups and project booths,-,
12971408914,409521685,09/15/2021 07:42:59 PM,09/16/2021 10:58:47 AM,CNCF,Europe,"Yes, and my needs were generally met",,3,,8,,10,The CNCF provides the necessary support for projects to grow and be sustainable,More Mentorship programs for people Sub Saharan Africa,N/A,N/A,None
12971280988,409521685,09/16/2021 09:47:23 AM,09/16/2021 09:50:44 AM,K8s,Europe,No,,8,,9,,8,,scholarships,entry level webinars to get even more peeps into Cloud Native,none,
12971158028,409521685,09/16/2021 08:08:26 AM,09/16/2021 08:18:01 AM,Working with Kubernetes/K3s/LinkerD/Falco,Europe,"Yes, and my needs were generally met",,8,,10,,10,"The community visibility and resources is quite big and have a really good impact on the projects. It's like a ""stability checkmark"" for companies that need to buy and/or use open source software.",n/a,There's already good efforts on the webinars side done either by the CNCF directly or the Ambassadors.  ,n/a,I'm really proud to be an Ambassador :)
12971131416,409521685,09/16/2021 07:35:33 AM,09/16/2021 07:55:40 AM,"Kubernetes, Litmus, Longhorn, K3s",Asia,"Yes, but my needs were not generally met",,10,,7,,10,"CNCF is the hub for all cloud native open source projects and it gives confidence to the end-user plus it gives the community to the project to grow. Also, its inclusive and diverse community makes it more awesome.","I am the ambassador who have actually told about maximum CNCF tech to the world in the form of meetups, events, organizing them, CNCFMinutes, youtube streams etc. So I always require support to keep it going and I need support in terms of swags for viewers, Cloud credits for my experimentation and learning resources apart from linux foundation.","In the end on my channel, I always brag about the CNCF technology to supporting my channel growth by sharing and also by becoming a member to help it grow more CNCF can help","All cloud access with credits for Ambassadors which I can use for experimentation and in turn write blogs as well, access to other learning resources, GPU rig to experiment and in turn I can write blog series on CNCF exclusively and teach people as well. ",Ambassadors should not be based on popularity but should be based on the effort they put in and how many times they have stepped in to make CNCF better and help educate people about CNCF technologies. The awards should also be based on the number of contributions IMO  - Many meetups  - Certs magic show on cloudnative.tv  - CNCFMinutes - one and only unique series  - KCD Bengaluru - great participation   - Container Garage   - CNCF Students - help it shape up and do many meetups   That is how the stats should work.
12971081270,409521685,09/16/2021 07:13:21 AM,09/16/2021 07:17:14 AM,Nocalhost,Asia,"Yes, and my needs were generally met",,10,,10,,10,,Community Promotion,webinars and kubecon,no idea,
12969937486,409521685,09/15/2021 10:02:33 PM,09/15/2021 10:09:47 PM,"OPA, Kubernetes, Harbor, ",Asia,"Yes, and my needs were generally met",,10,,10,,10,,-,-,possibly a better streaming tool for online meetups (perhaps the same used in cloud native tv),you're great!
12969884687,409521685,09/15/2021 09:47:25 PM,09/15/2021 09:50:02 PM,Kubernetes,North America,"Yes, and my needs were generally met",,10,,10,,10,,"Maintainers, Scholarships, Events","Booths, Webinars, Spotlights, Podcasts",None that come to mind at the moment,"I'd like to have more access to the YouTube, Twitch, and other properties to help out! "
12969730187,409521685,09/15/2021 07:37:22 PM,09/15/2021 08:49:57 PM,Kubernetes,North America,"Yes, and my needs were generally met",,10,,10,,10,,maintainers,"project booths, webinars",Nothing,
12969413197,409521685,09/15/2021 06:29:51 PM,09/15/2021 06:57:20 PM,kubernetes,North America,"Yes, and my needs were generally met",,8,,10,,10,,Enabling and supporting folks and they already do that. ,Marketing has been awesome ,seems pretty complete,None
12969350773,409521685,09/15/2021 06:34:52 PM,09/15/2021 06:36:36 PM,containerd,North America,"Yes, and my needs were generally met",,9,,9,,9,well run organization; helpful staff; good community/ecosystem growth,maintainers,N/A,Nothing comes to mind,
12969332025,409521685,09/15/2021 06:27:22 PM,09/15/2021 06:30:45 PM,Kubernetes,Europe,"Yes, and my needs were generally met",,2,Honestly I haven't looked so I need to do that!,10,,10,Extremely welcoming. Easy to get involved (although I think we could improve onboarding!),More resources for complete beginners,"Making more beginner friendly content and ""How to explain the CNCF to your grandparents"" kind of stuff.",Language classes so more folks can improve their English/other languages. We have incredible diversity that I think we could utilize more!,Keep up the great work. I feel so lucky to be a part of this!
12969306238,409521685,09/15/2021 06:19:01 PM,09/15/2021 06:22:29 PM,Kubernetes,Asia,"Yes, and my needs were generally met",,9,,8,,9,"Inclusivity, innovation and community.",I have around 40k students in my community. I am planning on launching a big event that will help students who might have lost opportunities due to Covid. Scholarships and mentorship help could be valuable here.,Personalised tweets about CNCF community events.,CNCF Student chapters: https://github.com/cncf/students/pull/1,
