Respondent ID,Collector ID,Start Date,End Date,Email Address,First Name,Last Name,Custom Data 1,Which CNCF Project are you contributing to/representing?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Where are you based (part of the world)?,"What is your feeling with respect to your overall experience with CNCF staff, where 10 is completely met expectations and 1 - did not meet expectations? *",Do you feel that CNCF reached out to collaborate and gather info about your needs? *,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF Speakers Bureau, CNCF Swag Store)?",Efficiency: Did you feel that the CNCF team responded quickly to your requests? Where 10 is work was completed on time or ahead of schedule and 1 is delayed? *,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
10641725323,227548242,04/04/2019 07:56:18 PM,04/04/2019 08:01:26 PM,,,,,Kubernetes,,,,,,,,,,,,,,Rook,,,,,,,,,,,,,,,,,etcd,,,,North America,8,No,10,7,"If you had a full-time Ambassadors staff member, it would be great to start with an ambassadors meeting and assessment of needs.  I don't really feel like what CNCF provides is what ambassadors need, it's just what things are easy to provide without full-time staffing.  Also, PLEASE ROTATE THE MEETING TIMES.  I am *never* available on Thursday mornings, and as a result have never made an ambassadors meeting."
10641337741,227548242,04/04/2019 05:55:09 PM,04/04/2019 05:57:02 PM,,,,,Kubernetes,Prometheus,OpenTracing,,CoreDNS,containerd,,,,CNI,,Jaeger,TUF (The Update Framework),,,,,,,,,,,,OpenMetrics,,,,,,,,,,,Europe,7,No,7,7,We need to collaborate more! Because I am excited to what you do
10641323107,227548242,04/04/2019 05:50:10 PM,04/04/2019 05:52:38 PM,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,10,No,9,10,"none really, we try to hold a workshop yearly and we should probably figure out how to share content with other meetups but haven't had the time. "
10641287753,227548242,04/04/2019 05:37:49 PM,04/04/2019 05:41:14 PM,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia,8,Yes,9,9,"Facilitate CNCF Zone with mini sessions, demo, lightening talks via ambassadors in the events "
10641147229,227548242,04/04/2019 04:46:01 PM,04/04/2019 04:51:41 PM,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,10,Yes,10,10,"Honestly, the CNCF has been doing a great job. I do think looking at the meetups and cull the inactive ones. If there is an ""established"" meetup but nothing going on there it discourages someone from possibly starting up a more active one."
10641138474,227548242,04/04/2019 04:44:09 PM,04/04/2019 04:48:41 PM,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,8,Yes,9,10,
10631363896,227548242,03/29/2019 04:42:29 AM,04/01/2019 02:59:02 AM,,,,,Kubernetes,Prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia,10,Yes,10,10,
10628193724,227548242,03/29/2019 07:23:22 PM,03/29/2019 07:27:55 PM,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia,8,Yes,5,7,"CNCF should be more active in South East Asia since the Cloud Native community has been growing rapidly, since Asia is not just China and India :) I will have more to share after sometime as I'm a new ambassador, but I'm really looking forward to make contribution in South East Asia region."
10627202952,227548242,03/29/2019 11:25:34 AM,03/29/2019 11:29:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Currently none, unfortunately",Europe,9,No,8,8,"swag from the US store is quite expensive in terms of shipping. Maybe look into options of having a EU based location as well to minimize shipping cost, time, and customs"
10626153624,227548242,03/28/2019 11:05:20 PM,03/28/2019 11:11:39 PM,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,10,Yes,10,10,"Free Shipping for Swag for Ambassadors, also not sure about Meetup reimbursement: is this per Meetup?"
10625703392,227548242,03/28/2019 06:25:53 PM,03/28/2019 08:19:05 PM,,,,,Kubernetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,8,Yes,6,9,Y'all are great!
