How long have you been a member of CNCF?,How many employees does your company have?,"Please indicate your CNCF membership level: (if you’re not sure, please check the list to confirm)",Are you also part of CNCF's End User Community? (Visit here to confirm),What is your role in your organization?,,What CNCF marketing programs are valuable to your company? Check all that apply.,,,,,,,,,,,,,,How well does CNCF communicate the process to get involved in the activities and programs offered?,,Have you taken advantage of networking opportunities with other CNCF members?,,What improvements could be made to these marketing programs? Please check all that apply,,,,,"What kind of additional marketing programs would you find valuable, if any?",We are looking for information on the events and marketing activities our members engage in. Do you hold community events such as a roadshow or developer event? Are they in-person or virtual? What is your targeted audience? How many attendees do you get?,"Do you have an event that CNCF should sponsor and if so, why?",Are you part of other member programs? What parts of that program to most enjoy / find beneficial?,Do you attend the monthly Marketing Committee calls?,"If you have attended a Marketing Committee meeting, is the content presented useful, interesting, and informative?",What improvements could be made to the Marketing Committee meeting? Select all that apply.,,,,,,,"In the past 6 months, have you had a call with CNCF to discuss your membership benefits?",,"Have you submitted an information request to CNCF staff? If so, what communication method did you use? Check all that apply.",,,,,,"If you have submitted a request to CNCF staff, how helpful were the responses you received?",What have you found to be the most valuable part of your CNCF membership? Check all that apply.,,,,,,,,Has your CNCF membership experience met your expectations?,,Would you recommend CNCF membership to other companies?,,Is there any other feedback that you wish to share? What can CNCF do more of or less of? How can CNCF help you in the next six months?
Less than one year,1-49,Silver,No,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,,,,,Somewhat well,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,,,,Never,Not at all,,,,,,I do not have any improvement suggestions,,No,,Member desk,,Email to specific CNCF person,,,,Very helpful,,Networking with other companies in the space,,,,,,,Neutral,,Yes,it's the only way to get a booth in kubecon,
Less than one year,1-49,Silver,No,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,,,,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Neutral,,No,,,,,I do not have any suggestions,,none,We planing to hold technical online events.,"Maybe, today we´ll start with a online Kubernetes tech talk. Let´s se, how this will work out.",not active,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,,,Email to an email alias,Email to specific CNCF person,,,,Very helpful,,,,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,,Yes,,no
1 year,"1,000-2,999",End User Supporter,Yes,Developer relations / community,,,,,,CNCF Webinar Program,,CNCF blog program on cncf.io,,End user case studies,PR/AR / Thought Leadership / Speaker Support,,Speakers Bureau and member emails,,,Neutral,"Maybe i'm missing some of the emails, but sometimes requests get lost among other End User emails",I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,,,,I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,,,More information on how members can get involved in marketing programs,,,,,Yes,,,,Email to specific CNCF person,,,,Very helpful,Marketing programs,Networking with other companies in the space,,Demonstrating thought leadership,,,,,Somewhat meets expectations,,Yes,,
2 years,1-49,Silver,No,Training / certification,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,,,,,,,,,,Neutral,,I was not aware of networking opportunities with other CNCF members,,,,,I do not have any suggestions,,,,,,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,Not sure,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,Marketing programs,,,,,,,,Somewhat meets expectations,,Yes,,
1 year,1-49,Nonprofit,No,Developer relations / community,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,,,,,Very well,,I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,,,,,,,,Never,I have not attended a marketing committee meeting,,,,,,,I do not attend Marketing Committee calls so have no input.,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,Marketing programs,,,,,,,,Completely meets expectations,,Yes,,
4+ years,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,,,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Very well,,No,,,,More support on aligning these programs to member goals,,"As a smaller company, it is hard to participate in everything that is offered.  Any help in prioritizing where CNCF sees a strong fit for a member could be helpful.","Once we get past the Coronavirus challenges, more smaller, local/regional events that are less expensive, and a smaller time commitment would be great. A step up from meetups, but not quite to an all day sponsored event... more community driven perhaps.","We do roadshows and workshops.  Typically we see from 30-40 people to upwards of 100, depending on the city.",na,na,Occassionally,Somewhat,,,More information on how members can get involved in marketing programs,,,,,No,,,Email to an email alias,Email to specific CNCF person,,,,Very helpful,Marketing programs,,,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Completely meets expectations,,Yes,,
2 years,500-999,Academic,No,Training / certification,,,,,,CNCF Webinar Program,Kubernetes blogs,,KubeWeekly,End user case studies,,,,,,Somewhat well,,No,,,,,I do not have any suggestions,,,The University holds on campus/Zoom  classes and events discussing cloud native solutions.,Not now. ,No,Every month,Very,,,,Marketing topics where members share best practices,,,,No,,,,Email to specific CNCF person,,,,Extremely helpful,Marketing programs,,,,Helping raise awareness of CNCF projects to reach critical mass,,,,Completely meets expectations,Attending the marketing call allows me to quickly stay current on rates of adoption and market leading topics.  ,Yes,"The clearer you can see the future of software development, the less missteps your company will make. CNCF provide direct access to the experience of leading adopters.  ",
Less than one year,50-499,Silver,No,Sales and Marketing,,,,,,,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,,,,,,,Very well,,No,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,,,,Most months,Very,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,,,,,Not sure,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,,,,,,Nothing,,Somewhat meets expectations,,Yes,,I don't think myself or my company is doing a good job of using all the resources and capitalizing on marketing initiatives or opportunities. 
2 years,"5,000+",Platinum,Yes,Other (please specify),Open Source Program Office,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,Kubernetes blogs,,,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Neutral,,Yes,,,,,I do not have any suggestions,,,,,Yes,Never,I have not attended a marketing committee meeting,,,,,,I do not have any improvement suggestions,,No,Call would be appreciated,,,Email to specific CNCF person,,,,Somewhat helpful,,Networking with other companies in the space,,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,,Yes,,
3 years,50-499,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,,KubeWeekly,,,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Very well,,Yes,"- Mostly during KubeCon events, I am not aware of other networking opportunities",,,,I do not have any suggestions,,,"Due to Corona, all Loodse community conferences are on hold for the moment being. Loodse is very active within the Kubernetes community in Europe and organises:  - ContainerDays Hamburg conference with 1,100 participants (https://www.containerdays.io/)  - GoDays Berlin with 400 participants (https://www.godays.io/)  - Enterprise Cloud Native Summit Munich with 400 participants  (https://www.ecn-summit.com/)  - OperatorCon as Day Zero Event of KubeCon (https://www.operatorcon.io/)  - Kubernetes Meetups in Munich, Hamburg, Amsterdam, Vienna and Stuttgart    Moreover, Loodse is involved in the organisation of Kubernetes Community Days Munich and Berlin.     Finally, Loodse plans to launch Enterprise Open Source Summit as a virtual event together with Kinvolk and Target Partners.                     ","I think that sponsoring ContainerDays and Enterprise Cloud Native Summit would be beneficial for the CNCF.    After KubeCon Europe, ContainerDays is the oldest and largest Kubernetes community event in Central Europe. Last year, ContainerDays attracted more than 1,100 attendees to Hamburg.    Benefit for the CNCF: Visibility within the Central European Kubernetes Community (CNCF did sponsor ContainerDays before and some of our attendees asked why it is no longer doing so because it seems somehow obvious to them that the CNCF should be there.)     Enterprise Cloud Native Summit seeks to empower IT decision makers to manage the cloud native transformation. The conference is clearly targeted towards IT decision makers in medium-sized and large companies. The first edition last fall was very successfull with 400 participants and speakers from i.a. Allianz, BMW and Zalando.    Benefit for the CNCF: Visibility with an audience that might not be very much aware of the importance and activities of the CNCF and the cloud native ecosystem yet.       ",- I guess I do not fully understand what kind of programs you are referring too. ,Most months,Somewhat,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,Marketing topics where members share best practices,,,,No,,Member desk,Email to an email alias,Email to specific CNCF person,,,,Very helpful,Marketing programs,Networking with other companies in the space,,Demonstrating thought leadership,,,,,Somewhat meets expectations,,Yes,,
2 years,50-499,Silver,No,Sales and Marketing,,,,,,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,End user case studies,PR/AR / Thought Leadership / Speaker Support,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,"I have to admit, that I was not fully aware of all the opportunities. I would definitely like to have more information about that. I marked that ones, that are especially interesting.",Somewhat well,,I was not aware of networking opportunities with other CNCF members,could you provide some more information about these networking opportunities,,,,I do not have any suggestions,,,"Cloud Native Meetups in Munich and Mainz (Germany); usually in-person, but lately also virtual (due to the COVID-19 situation); Targeted audience are developers especially the ones with cloud native experience; We have around 50-60 attendees in Munich and around 30-40 in Mainz  ","What are the restrictions to get support (Sponsor, marketing-wise) for an event. We might plan a virtual event about cloud native topics this year.",,Occassionally,Neutral,,,,,,I do not have any improvement suggestions,,No,would be happy to have a call.,,,,,,I have not submitted a request of CNCF staff,Very helpful,,,,,Helping raise awareness of CNCF projects to reach critical mass,,,awareness for Cloud Native in general,Neutral,Could you let me know the Slack-Channel? That could be very interesting for me.,Yes,,"By filling in this survey I got aware off all the possibilities that CNCF offers, that I didn't really know about. I'm definitely interested in more information about the possibilities."
2 years,1-49,Silver,No,Other (please specify),All of the above,,,,,,Kubernetes blogs,CNCF blog program on cncf.io,KubeWeekly,End user case studies,,,Speakers Bureau and member emails,,"The Speakers Bureau registration process is not clear enough; for example, I submitted my profile, but I never received any status, any email, whether to answer yes or no.",Somewhat well,"As I already mentioned, the registration process sometimes is not clear enough.",Yes,Geographical or based on language channels in Slack.,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,Sponsorship for my cloud native podcast (ahah). Maybe providing some goodies for local meetups.,"Yes I manage many events: meetup groups, podcast. The target audience is anyone who enjoy, or just is curious in cloud native practices and technologies.","Almost, I launched recently a French cloud native podcast, but I need to increase my audience first. ",,Occassionally,Very,,,,,,I do not have any improvement suggestions,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,Networking with other companies in the space,,Demonstrating thought leadership,,Lead generation from partner programs,,,Completely meets expectations,,Yes,,"No, I really enjoy be part of CNCF, it's great!"
2 years,50-499,Silver,No,Sales and Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 years,1-49,Silver,No,Training / certification,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat poorly,,No,,Add more programs,,,,Do not accept everyone. That's made the program too open and it will lose charm!,,,,,Occassionally,Somewhat,,,,,,I do not have any improvement suggestions,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,,,Demonstrating thought leadership,,Lead generation from partner programs,,,Somewhat does not meet expectations,,No,,
3 years,"5,000+",Platinum,No,Product / project management,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,Sponsorship of CNCF Events: Kubernetes Forums,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",Sponsorship of CNCF Events: Kubernetes Community Days,CNCF Webinar Program,Kubernetes blogs,,KubeWeekly,,PR/AR / Thought Leadership / Speaker Support,,,,,Somewhat well,,I was not aware of networking opportunities with other CNCF members,,Add more programs,Better communication as to how to get involved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less than one year,50-499,Silver,No,"Technical, engineering, developer",,,,,,CNCF Webinar Program,,CNCF blog program on cncf.io,,End user case studies,,"Partner Programs (KTP, KCSP, Certified K8s)",Speakers Bureau and member emails,,,Somewhat well,,I was not aware of networking opportunities with other CNCF members,,,,More support on aligning these programs to member goals,,,N/A,No,No,No,Occassionally,Neutral,,,,,Open discussion time,,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,,Direct access to developers in the community to promote our solutions or hire talent,Demonstrating thought leadership,Helping raise awareness of CNCF projects to reach critical mass,,,,Somewhat meets expectations,,Yes,,
Less than one year,50-499,End User Supporter,Yes,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,"Sponsorship of CNCF Events: CNCF project events (i.e PromCon, gRPC Conf)",,CNCF Webinar Program,,,,,,,,,,Somewhat well,,Yes,,,Better communication as to how to get involved,,,,,,,,I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,,,,Marketing topics where members share best practices,,,,No,we just joined,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,Networking with other companies in the space,,,,,,,Neutral,,Yes,,
Less than one year,50-499,Silver,No,Sales and Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 years,1-49,Silver,Yes,Sales and Marketing,,,,,,CNCF Webinar Program,Kubernetes blogs,CNCF blog program on cncf.io,,End user case studies,PR/AR / Thought Leadership / Speaker Support,,Speakers Bureau and member emails,,,Very well,,Yes,,,,,I do not have any suggestions,,,,,,Most months,Somewhat,,,,Marketing topics where members share best practices,,,,No,,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,,,Demonstrating thought leadership,,,,,Somewhat meets expectations,,Yes,,
2 years,"1,000-2,999",Silver,No,Product / project management,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,Sponsorship of CNCF Events: Kubernetes Community Days,,Kubernetes blogs,CNCF blog program on cncf.io,,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat well,,No,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,,,OVH Summit in Paris once a year / 3k attendees,OVH Summit . We have a lot of customers and prospects that are still starting their cloud transition and should learn about CNCF projects,,Occassionally,Somewhat,,,,,,I do not have any improvement suggestions,,No,,,Email to an email alias,Email to specific CNCF person,,,,Extremely helpful,Marketing programs,,Direct access to developers in the community to promote our solutions or hire talent,,Helping raise awareness of CNCF projects to reach critical mass,Lead generation from partner programs,,,Somewhat meets expectations,,Yes,,
3 years,1-49,Silver,No,Sales and Marketing,,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,CNCF Webinar Program,,,KubeWeekly,,,,,,,Very well,,I was not aware of networking opportunities with other CNCF members,,,,,I do not have any suggestions,"More opportunities to showcase vendors' products e.g. build a community exchange program - so the vendors can offer a special credit, promo for the CNCF members only. Good for the community to have access to discounted close source products that are provided alongside of open source. ",na,-,-,-,Most months,Somewhat,,,,,,I do not have any improvement suggestions,,No,,,,Email to specific CNCF person,,,,Very helpful,Marketing programs,,,,,,,,Somewhat meets expectations,,Yes,,-
1 year,"1,000-2,999",Silver,Yes,"Technical, engineering, developer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 years,1-49,Silver,No,"Technical, engineering, developer",,Sponsorship of CNCF Events: KubeCon + CloudNativeCon,,,,,,,,,,,,,,Neutral,,No,,,,,I do not have any suggestions,,,,,,Occassionally,Somewhat not,,,,,,,Make it vendor neutral,No,,,,Email to specific CNCF person,,,,Very helpful,,,,,,,Nothing,,Somewhat does not meet expectations,,Yes,,
1 year,1-49,Silver,No,Other (please specify),CEO,,,,,,,,,,,"Partner Programs (KTP, KCSP, Certified K8s)",,,,Somewhat poorly,"Aside from joining the KCSPP (which was recommended by one of my team), it's not really clear how we can make the most of that program and thus justify the high cost of CNCF membership.",I was not aware of networking opportunities with other CNCF members,,,Better communication as to how to get involved,More support on aligning these programs to member goals,,It's not clear how to benefit from these programs right now.,,"Our events are sales & marketing activities, aimed at technical decision-makers. These usually take the form of hosted round-tables of ~20 people.",,"We're part of the AWS Partner Network. Our relationship there involves their account management team for our geography, and those individuals help us gain sales leads.",I was not aware of the monthly Marketing Committee calls,I have not attended a marketing committee meeting,Increased communication regarding how your company can strategically align with CNCF initiatives,,More information on how members can get involved in marketing programs,,,,,No,I don't think I've seen an invitation for such.,,,,,,I have not submitted a request of CNCF staff,I have never submitted a request to CNCF Staff,,,,,,,Nothing,,Somewhat does not meet expectations,,No,Difficult to justify the cost on the basis of what we've got out of membership this year - though appreciate that some of that is on us.,"Our AWS partner network membership fees are $2500/year, and we get $5000 back in credits, as well as a plethora of free training opportunities. We also have access to a dedicated partner development manager who makes sure we're aware of the things we can get involved in, and helps raise our reputation amongst account managers in that organisation.    CNCF membership costs more, delivers less. I'm going to try and concentrate more on that relationship this year (we've just renewed), but so far the only benefit seems to be that I can put a KCSPP logo on our website."
