Respondent ID,Collector ID,Start Date,End Date,How do you currently interact with the TOC and the TOC SIGs? (Please tick all that apply),,,,,,,Which of these applies to you? (tick all that apply),,,,,,,Do you find public TOC meetings useful?,Did you feel that the CNCF TOC responded quickly to your project reviews or other requests?,"Do you feel CNCF SIGs (e.g., App Delivery, Storage etc) are useful?","How useful do you find the following interactions with the CNCF TOC? (Very useful, somewhat useful, not useful, pointless, I was not aware of this)",,,,,,"To what extent do you agree with the following statements? (Strongly disagree, disagree, neutral, agree, strongly agree)",,,,,,,,,,Would you like to be more involved in CNCF TOC and SIG work? (Select one),"In your opinion, is the CNCF missing projects that represent important pieces of the Cloud Native landscape? Please specify:","What would you like the CNCF TOC to do differently, or to provide that currently doesn’t happen?","Any other feedback that you wish to share, from what CNCF TOC can do more or what we should do less?"
11404768674,254535004,03/09/2020 8:22:01 PM,03/09/2020 8:25:29 PM,I subscribe to the CNCF TOC mailing list,,,,,I join meetings for one or more CNCF SIGs,,,I work for an end user company that consumes CNCF projects,,I work for a small company (<100 people),,,,Agree,Neutral,Neutral,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,,Agree,Neither agree nor disagree,Agree,N/A,N/A,Agree,Neither agree nor disagree,Agree,Agree,Agree,"Yes, but I don’t have enough time",,N/A,Thanks for all
11404728388,254535004,03/09/2020 7:55:39 PM,03/09/2020 8:11:20 PM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,I join CNCF TOC public meetings,,,I join meetings for one or more CNCF SIGs,,I spend most of my working time contributing to CNCF projects,,I spend most of my working time on projects that would like to be accepted into the CNCF,I work for a small company (<100 people),,,,Agree,Disagree,Agree,Very useful,Very useful,Very useful,Very useful,Very useful,"TOC mentoring program to help project enter sandbox, incubation, and gratuation ",Neither agree nor disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Disagree,"Yes, but I don’t know how to get more involved","projects that connect to adjacent and emerging technologies such as Edge, AI, Deep Learning, 5G, etc ","I've sent four TOCs for a project (SIG-runtime approved) for Sandbox application sponsor. It's been over a month, still no sponsors. No feedback on the project either. One TOC didn't even acknowledge the receipt of the request. The project team feels discouraged and demoralized. There should be some standard/qualification baseline to ensure all projects will enter sandbox if they meet he standard/qualification baseline ","There should be a mentorship program for TOCs to mentor project leaders and help them lead their project to enter Sandbox, Incubation, Graduation. "
11404557323,254535004,03/09/2020 7:12:14 PM,03/09/2020 7:15:57 PM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,,,,I join meetings for one or more CNCF SIGs,,I spend most of my working time contributing to CNCF projects,,,I work for a small company (<100 people),,,,Strongly Agree,Strongly Agree,Strongly Agree,Very useful,,Very useful,Very useful,,,Strongly Agree,Strongly disagree,Strongly Agree,N/A,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"No, I’m involved enough",,N/A,Study other possibilities for diversity and inclusion because the current numbers are still bad in spite of all the effort that has gone into it so far.
11404546809,254535004,03/09/2020 7:06:53 PM,03/09/2020 7:11:28 PM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,,,,I join meetings for one or more CNCF SIGs,,I spend most of my working time contributing to CNCF projects,,I spend most of my working time on projects that would like to be accepted into the CNCF,,,,I work for a large company (1000+ people),N/A,Agree,Strongly Disagree,I was not aware of this,I was not aware of this,Very useful,I was not aware of this,I was not aware of this,,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,"Yes, and I am intending to do so",Serverless. There's a serverless WG but not a serverless SIG - which seems strange to me.,"Better way to get ToC members to review proposals approved by SIGs.  Seems like process is clear for SIGs to approve, but then just turns into a bit of luck and chance to get the 3 votes.","Not seeing value from the SIGs.  Feels like process for process sake.  At the end of the day I still have to get direct access to ToC members to try to get 3 votes.  Either give SIGs more power, or get rid of them."
11404468999,254535004,03/09/2020 5:53:46 PM,03/09/2020 6:51:15 PM,I subscribe to the CNCF TOC mailing list,,,,,,,I spend most of my working time contributing to CNCF projects,,,,,,I work for a large company (1000+ people),Agree,Strongly Agree,Agree,Somewhat useful,Very useful,Very useful,I was not aware of this,,,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,"No, I’m involved enough",,"Sometimes I think more involvement in individual projects would be good, but then other times keeping a hands-off approach is a good thing to give projects more room to grow as needed. No specific suggestions for now.",No
11403097668,254535004,03/09/2020 9:21:41 AM,03/09/2020 9:26:14 AM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,,,,,,,I work for an end user company that consumes CNCF projects,,,,,I work for a large company (1000+ people),N/A,Strongly Disagree,Agree,Not useful,I was not aware of this,Not useful,I was not aware of this,I was not aware of this,,Strongly disagree,Disagree,Strongly Agree,Neither agree nor disagree,Agree,Disagree,N/A,N/A,Strongly Agree,N/A,"No, I’m not interested",kyma,.,.
11403052846,254535004,03/09/2020 8:42:57 AM,03/09/2020 8:48:31 AM,,,,,I'm listed as a CNCF Contributor,I join meetings for one or more CNCF SIGs,,,I work for an end user company that consumes CNCF projects,,,,,I work for a large company (1000+ people),N/A,N/A,Strongly Agree,Very useful,Very useful,Somewhat useful,Very useful,I was not aware of this,,Neither agree nor disagree,Disagree,Strongly Agree,N/A,Disagree,Neither agree nor disagree,N/A,N/A,Agree,Neither agree nor disagree,"Yes, but I don’t have enough time",,Bringing content from TOC directly into e.g. the CNCF blog with general ideas and not project specific blog entries only.,Keep up on evangelize cn mindset.
11402776946,254535004,03/09/2020 3:23:28 AM,03/09/2020 4:22:22 AM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,,,I'm listed as a CNCF Contributor,I join meetings for one or more CNCF SIGs,,I spend most of my working time contributing to CNCF projects,,I spend most of my working time on projects that would like to be accepted into the CNCF,,,,I work for a large company (1000+ people),Strongly Agree,Neutral,Strongly Agree,Very useful,Very useful,Very useful,Very useful,I was not aware of this,,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, and I am intending to do so",,"It's hard for projects applying sandbox to get TOC sponsorship today, applicants even can't get enough feedback. Probably something like SLA should be introduced. ""Slience"" is not a helpful feedback from TOC.",NA
11401417637,254535004,03/08/2020 6:39:20 AM,03/08/2020 6:48:16 AM,I subscribe to the CNCF TOC mailing list,,I join CNCF TOC public meetings,,,I join meetings for one or more CNCF SIGs,,,I work for an end user company that consumes CNCF projects,I spend most of my working time on projects that would like to be accepted into the CNCF,I work for a small company (<100 people),,,,Neutral,Neutral,Agree,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,I am unsure whether I am qualified to get more involved,"Cloud native landscape should represent vendor neutral cloud tools/solutions, not tools of AWS or azure or gcp should be listed there",There should be more meetings with sponsors inorder to get projects more visibility to the sponsors and thus get funded/graduated,"Increase the frequency of meetings, so that everyone can get chance to present there project and get funded. Now it's more than a year process"
11401178826,254535004,03/08/2020 1:39:26 AM,03/08/2020 1:51:51 AM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,,,,I join meetings for one or more CNCF SIGs,,I spend most of my working time contributing to CNCF projects,,,I work for a small company (<100 people),,I work for a medium-sized company (100-1000 people),,Neutral,Agree,Disagree,Somewhat useful,Very useful,Somewhat useful,Not useful,Not useful,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly Agree,Agree,"Yes, but I don’t have enough time",Data on Kubernetes as opposed to data connected to Kubernetes via CSI was not anticipated by early k8s architects or by leadership of storage SIG.  Even though this pattern has proliferated and adds value to kubernetes at users like the CNCF itself and bloomberg and otherwise furthers the aims of the CNCF we have been treated w/ overt hostility by certain members of the TOC who accuse us of “exploiting” the CNCF for example and lobby against the inclusion of OpenEBS.  Also would recommend a chaos engineering project or two be adopted.,The TOC should police each other and not allow projects in good standing to be accused of exploiting the CNCF without that language being challenged.,Talk to top users about their bottlenecks and opportunities - such as data management - and keep an open mind as they point out unexpected or unanticipated patterns of adoption.
11401059321,254535004,03/07/2020 11:26:13 PM,03/07/2020 11:50:36 PM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,I join CNCF TOC public meetings,,,I join meetings for one or more CNCF SIGs,,,I work for an end user company that consumes CNCF projects,,,,,I work for a large company (1000+ people),Neutral,Strongly Disagree,Agree,Not useful,I was not aware of this,Somewhat useful,Somewhat useful,,,Neither agree nor disagree,Strongly disagree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,"Yes, and I am intending to do so","Yes, the projects that can improve the security of cloud.",More transparency when it comes to making decisions.  Respect the feedback from the community.  Answer the concerns raised by the community instead of running away.  Learn from mistakes and improve.  Prioritise CNCF community interest over TOC's personal or employer interest.  Mandatory TOC members meeting attendance.,Less drama
11378674189,254535004,02/28/2020 10:31:47 AM,02/28/2020 10:35:48 AM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,,,,I join meetings for one or more CNCF SIGs,,,I work for an end user company that consumes CNCF projects,I spend most of my working time on projects that would like to be accepted into the CNCF,,,,I work for a large company (1000+ people),Neutral,N/A,Agree,I was not aware of this,Somewhat useful,Somewhat useful,Very useful,I was not aware of this,,Strongly Agree,Agree,Strongly Agree,N/A,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, and I am intending to do so",,"Accessibility of processes to laymen users, simple explanation of SIG steering process and more documentation ","Reduce the number of mediums of communication and repositories for documentation, but work with community managers to polish and present the ones you do have."
11377127282,254535004,02/27/2020 5:40:37 PM,02/27/2020 9:46:14 PM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,I join CNCF TOC public meetings,I am a CNCF SIG chair or tech lead,I'm listed as a CNCF Contributor,I join meetings for one or more CNCF SIGs,,I spend most of my working time contributing to CNCF projects,I work for an end user company that consumes CNCF projects,,,,,I work for a large company (1000+ people),Strongly Agree,N/A,Strongly Agree,Very useful,Very useful,Very useful,Very useful,I was not aware of this,,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,"Yes, and I am intending to do so","Serverless framework (Openfaas, knative, openwhisk), Big data pipeline batch and streaming frameworks (i.e Spark, Flink) Distributed relational database (i.e Cockroachdb like), Column based data store (i.e Apache Druid, Apache Pinot), Big Data store formats (i.e Apache parquet, Apache Arrow), MLOps type of tools (i.e Tensorflow serving, seldom core, several here: https://github.com/EthicalML/awesome-production-machine-learning).",Encorage TOC liaisons to participate more in SIGs and SIG meetings.  TOC cupcakes :-),"Great job, keep it up! Keep up the commitment to diversity and openness. "
11376230641,254535004,02/27/2020 4:34:12 PM,02/27/2020 4:44:48 PM,,,,,,I join meetings for one or more CNCF SIGs,,,I work for an end user company that consumes CNCF projects,,I work for a small company (<100 people),,,,Agree,N/A,Agree,Very useful,Very useful,Very useful,,,,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,N/A,N/A,Disagree,N/A,Neither agree nor disagree,Agree,"Yes, but I don’t know how to get more involved","Do not, I am not involved at this moment but I want to involve myself and work on cncf projects.",NA,NA
11376212280,254535004,02/27/2020 4:22:28 PM,02/27/2020 4:38:33 PM,,I subscribe to the mailing list for one or more CNCF SIGs,,,,I join meetings for one or more CNCF SIGs,,I spend most of my working time contributing to CNCF projects,,I spend most of my working time on projects that would like to be accepted into the CNCF,,,,I work for a large company (1000+ people),N/A,N/A,Disagree,Somewhat useful,I was not aware of this,Very useful,Not useful,I was not aware of this,,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,"Yes, and I am intending to do so",I don't believe that all projects must be under the same foundation. What is important is that if they want to be considered that they are given a fair opportunity. It was disappointing that CNAB was turned away from the CNCF when they wanted to be considered for inclusion but ship has sailed and they are still in the LF.,"The process churn over the past 6 months has been confusing as someone considering submitting a new project. Watching projects that have been caught mid-proposal while it has happened has been hard to watch. The new SIG process has felt biased, hostile and unnecessarily dragged out over things that are out of scope of the TOC DD process, and I'm not even involved in the projects in question.     The SIG's are supposed to help the TOC but there needs to be better clarity to the people participating. Some people are in the know about how this works because they attend TOC meetings and ""know people"" often but not enough of this is communicated to everyone who just show up to meetings as an interested party. It's not written down and they think any question is okay to just throw out at a maintainer and hold up things over.    I really don't want to go through this same process with my own project...",N/A
11369087025,254535004,02/25/2020 8:54:56 AM,02/25/2020 9:06:39 AM,I subscribe to the CNCF TOC mailing list,,,,,,CNCF GB Chair,I spend most of my working time contributing to CNCF projects,,,,,,I work for a large company (1000+ people),Disagree,N/A,Neutral,,Not useful,Somewhat useful,Not useful,Not useful,,Disagree,Strongly Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,"No, I’m involved enough","Not really, and also not sure that should be the objective of the CNCF.","The CNCF TOC is not focused on the technical needs of customer or projects. It would be much more effective for the TOC to be an architecture committee with substantial technical and architecture deliverables. Currently there are more polarizing non-technical views and discussion in the TOC, than anywhere else in the community or GB.","It would be great to see the TOC select more technical topics, either through SIGs or otherwise and create more forward looking technical guidance within the CNCF. This would allow the CNCF to be proactive and user centered vs. being reactive and vendor dependent."
11368538624,254535004,02/25/2020 2:02:33 AM,02/25/2020 2:06:01 AM,I subscribe to the CNCF TOC mailing list,,,,,,,,,I spend most of my working time on projects that would like to be accepted into the CNCF,,,,I work for a large company (1000+ people),Agree,Agree,Agree,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I am unsure whether I am qualified to get more involved,,Add more Telco NFV info.,Add more Telco NFV info.
11367731759,254535004,02/24/2020 8:20:07 PM,02/24/2020 8:26:27 PM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,I join CNCF TOC public meetings,,,I join meetings for one or more CNCF SIGs,,,I work for an end user company that consumes CNCF projects,,,,I work for a medium-sized company (100-1000 people),,Strongly Agree,Neutral,Agree,Very useful,Very useful,Somewhat useful,Very useful,,,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Yes, but I don’t know how to get more involved",,.,.
11367331279,254535004,02/24/2020 6:11:29 PM,02/24/2020 6:14:40 PM,I subscribe to the CNCF TOC mailing list,I subscribe to the mailing list for one or more CNCF SIGs,I join CNCF TOC public meetings,,,I join meetings for one or more CNCF SIGs,,,I work for an end user company that consumes CNCF projects,,I work for a small company (<100 people),,,,Agree,Strongly Agree,Agree,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,,,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,I am unsure whether I am qualified to get more involved,,I can't currently think of anything,I don't currently have anything.
