My employer is (select one):,Which CNCF Project(s) are you currently maintaining?,Do you participate in a Technical Advisory Group?,,Do you interact with or engage with other CNCF projects outside of the ones you maintain? Which ones?,,"Would you recommend CNCF to other open source projects, and why?",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)",,Did you feel that the CNCF staff responded quickly to your requests?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Do you have a good understanding of the Technical Oversight Committee and Technical Advisory Groups and know how to engage with them?,,"Do you find the metrics provided by the CNCF (DevStats, CloMonitor, Project Health) valuable for the needs of your project?",,Did you feel that the Technical Oversight Committee responded quickly to your requests?,,What project benefits are you satisfied the most with?,"If you have applied to move levels, did the process for moving levels match your expectations? Why or why not? If you haven’t applied, why not?",How do you feel about the current requests and requirements of projects moving levels or after graduation?,What services do you wish the CNCF provided that it doesn't currently?,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
An End User company (not involved in direct monetization of CNCF projects),Dragonfly,No,,No,,10,,7,,7,,7,,7,,10,,7,,"Yes, project publicity requires more investment.",I haven't applied yet.,None.,None.,
A vendor of cloud technology,OpenKruise,Yes,,Yes,KubeVela,10,,8,,8,,8,,8,,10,,8,,I believe the DevStats and marketing helps us most,"yes, it matches",it is valid,"i think the marketing service and programs will be valuable to us for expanding the usage out of China, but i'm not aware of any best practice to the marketing.",
A vendor of cloud technology,vineyard,No,,Yes,fluid,10,CNCF helps to establish the connection with the cloud-native community.,10,Thank CNCF for the assistant about our tech docs and website designing.,10,,9,,7,"I understand the TOC and TAGs of CNCF, but I'm not clear about how to engage with them.",8,,8,TOC responsed very quickly during our application to be accepted as a CNCF sandbox project.,CNCF's help to introduce the project to the community.,Not applied yet. We think vineyard still needs further time to get more adoption in the end-user community.,It looks good.,CNCF service desk to help us design the website.,
Neither,kubeedge,No,,Yes,"CSI, Kubernetes",10,Well structured and organized. Strong community practices!,N/A,Currently not very much engaged. I need to!,N/A,,10,,10,,10,,N/A,,The community support and visibility Support to sustain the project dev,Yes.,NA,NA,Cross labs/foundations collaboration with LF and across
A vendor of cloud technology,Linkerd,No,,Yes,Flux/Flagger,10,Cloud-related projects can only benefit from collaborating together under a foundation facilitating such cooperation,8,It would be great to get more credits to use different cloud providers for testing purposes (currently only credits for AWS are provided),10,,N/A,I don't. I should take a look at those more closely.,N/A,,N/A,I honestly haven't looked at those.,N/A,,"I have only been involved with the mentorship program, which ran its course satisfactorily.",I haven't been involved in those processes.,I haven't been involved in those processes.,N/A,
A vendor of cloud technology,"KubeEdge, Volcano, Karmada",Comments:,"Yes, but time is not quite friendly for APAC attendees",No,,8,"Projects entering CNCF gets attraction by default, but how to grow healthy community are more likely projects' own work",8,,10,,9,,9,,8,,9,,KubeCon Maintainer track opportunities,"No, the criteria of projects moving to graduated are not clear (it seems really depends on how the TOC members' judgement).",NA,Mentorship or other ways helping projects setting up their community development strategies,
A vendor of cloud technology,dragonfly,No,,Yes,,9,,10,,10,,10,,10,,10,,10,,influence,No application,no,none,nothing
A vendor of cloud technology,kube-ovn,No,,No,,10,CNCF is some thing which kind of represent future,10,,10,,3,not clearly,3,not clearly,3,not clearly,7,not clearly,not clearly,not clearly,not clearly,not clearly,not clearly
An End User company (not involved in direct monetization of CNCF projects),kube-rs,No,,Yes,"linkerd, flux, prometheus, thanos, helm, opentelemetry",6,,N/A,,7,,8,,3,,3,,N/A,,"free CI, but that's also the only thing we take advantage of",have not applied. don't see any specific benefits to us as maintainers that are particularly inviting yet.,as written they look sensible,"paths for maintainer monetisation, but that's also hard.",
A vendor of cloud technology,Serverless Workflow Specification,No,,Yes,"Kubernetes, Knative, CloudEvents",10,,10,,10,,10,,10,,10,"Honestly, I found very hard to read these dashboards. Too much information, low usability.",10,,The overall support we get from the community managers.,"We are on the verge of releasing the first stable version. After that, we will apply to have a few companies onboard the project.",I don't have enough information about it.,None comes to mind.,
Neither,Athenz,No,,Yes,CertManager ( just started) and K8S (we provide service identity support for workloads),7,"If the projects is cloud centric, supports K8S or is integrated with another CNCF projects then its definitely recommended to be part of CNCF",6,Unfortunately there isn’t much support available for sandbox projects,N/A,,10,I have a good understanding of the services available but they’re not much available for sandbox projects,9,,9,,N/A,,It was great to have a virtual office hours during Kubecon.,We still need another company to use Athenz in order to satisfy move level requirement,They seem fair enough.,More support for sandbox projects especially to increase visibility. For example I’d love to have a separate blog place for sandbox projects and not just accept blogs from graduating projects.,
A vendor of cloud technology,Envoy,No,,No,,9,"CNCF does a great job at providing the logistical, governance and program support for an OSS project freeing up maintainers to maintain. I'd call out in particular the value as a brand, CNCF governance means something to customers. In addition, Chris A. is a fantastic partner and has been highly responsive and involved in driving Envoy forward through CNCF.",8,,9,,5,"TBH I don't know what this is, I might have used ServiceDesk once.",2,We don't use this in Envoy AFAIK.,8,"Occasionally read the updates, useful and interesting when I do.",N/A,,"Chris A. Also funding for contractors for compliance testing, security work (e.g. fuzzing). Very helpful.",N/A,N/A,N/A,
A vendor of cloud technology,NetworkServiceMesh,Yes,,Yes,"Spiffe/Spire, GRPC",10,CNCF serves its projects better than any foundation I've ever seen,10,,10,,10,,10,,10,Devstats is excellent. CloMonitor is so monorepo specific as to be unhelpful.,10,,"Infrastructure (GitHub Actions, Netlify, etc)",Still building adoption.,They are reasonable.,Nothing comes to mind.,
A vendor of cloud technology,CRI-O,Comments:,"We've attended TAG-Runtime, but are not regular participants",Yes,Kubernetes,7,,8,I think the marketing we get from events is very good. I think as a maintainer it's not always clear what resources are available from the CNCF. We've often had to seek out help: e.g. with security audit,10,,4,I have personally never seen this document,7,,7,,5,"We have gotten relatively fast responses, but it seems the TOC is very burdened time wise and getting timely feedback has been a struggle",Marketing through kubecon talks and kiosk availability. Security audit (when it was arranged),"The criteria for graduation is a bit nebulous. There is some documentation, but there are many hidden expectations that weren't clear until we began the process. That, and the cncf toc timelines around kubecon freeze were not well highlighted","The requests are valid, but it would have been better to know these things ahead of time.",Help running project social medias,"I personally am very thankful for the CNCF and all the work the TOC and advisory board does. My feedback may seem critical because there's room for improvement, but everyone is trying their best and I've not had any negative experience besides time constraints"
A vendor of cloud technology,k3s,Yes,,Yes,NATS.io,10,,8,,10,,10,,10,,10,We use devstats regularly!,8,,We use devstats basically daily and find it tremendously useful,We are preparing to do so in the coming months!,Especially the Sandbox -> Incubating requirements are very clear and reasonable,Licenses to things like VirusTotal API to help implement scanning in CI,
An End User company (not involved in direct monetization of CNCF projects),"TUF, in-toto",Yes,,Yes,Various through TAG Security,9,,9,,8,"It's hit and miss, but Amye is great.",6,,7,,6,,6,,The conference sessions help to feature the projects well,"It's a slow process and has seemed a bit political from our side. We are not from a large company, which (at least to us) has seemed to delay our request substantially.","After, it seems fine. It's just slow to get it done",Better neutral marketing for projects that don't have a big company's PR team behind,
An End User company (not involved in direct monetization of CNCF projects),Jaeger,No,,Yes,OpenTelemetry,10,,9,,7,,9,,10,,6,,N/A,,.,n/a,n/a,.,
A vendor of cloud technology,WasmEdge Runtime,No,,Yes,"Dapr, OpenYurt, SuperEdge, containerd, and others",10,,10,,10,,10,,8,,10,,N/A,,"LFX internship opportunities, project kiosk at KubeCon",We are about to apply!,I think they are reasonable requirements.,I think CNCF is doing a great job providing services to members and projects. I think perhaps it could facilitate cross adoption between its member companies and open source projects — maybe in the form of published best practices and tooling recommendations.,
A vendor of cloud technology,Jaeger and OpenTelemetry Collector Contrib,No,,No,,9,,10,,8,,5,"I don't think it's useful to me, which is why I don't have a good understanding.",5,"I don't think it's useful to me, which is why I don't have a good understanding.",10,"I wasn't aware of them, but looking at them now, I'll definitely bookmark those metrics sites!",7,,"I wasn't aware of the benefits, unless if you meant the metrics; that's a nice resource.",N/A,N/A,N/A,
Neither,Artifact Hub,No,,No,,10,,10,,10,,10,,10,,10,,10,,Marketing,-,-,-,
A vendor of cloud technology,Paralus,No,,Yes,"Cluster-API,KubeArmor",7,,N/A,,N/A,,N/A,,4,,8,,N/A,,Project metrics,Not applied for move levels yet.,N/A,Nope,
A vendor of cloud technology,k8up,No,,No,,9,,9,,N/A,,6,,9,,10,,N/A,,Being present at KubeCon with a project kiosk,n/a,n/a,Help with improving the community around a project. Simple project website.,
An End User company (not involved in direct monetization of CNCF projects),k8gb,No,,No,,7,,7,,8,,3,,3,,8,,N/A,,N/A,N/A,N/A,N/A,
An End User company (not involved in direct monetization of CNCF projects),DevStream,No,,Yes,Argo CD,9,,9,,9,,9,,N/A,,6,,N/A,,community support,Haven't yet because I know it requires end users.,Reasonable.,Maybe help to find commercial end users? Not sure if this is possible or not,
Neither,Fluentd,No,,No,,5,Because I haven't had much to do with CNCF yet.,N/A,,N/A,,1,,1,,1,,N/A,,Fluentd,I have yet to apply because I don't know about it well.,I don't know it well.,Nothing for now.,
A vendor of cloud technology,"Crossplane, Rook",No,,Yes,Kubernetes,9,"I have found the CNCF to be a big help for our projects, providing lots of standardized support and programs, and obviously a great technical vetting of the project too.",9,"Yes, the CNCF has provided a lot of available support/services",9,"Yes, the direct staff always respond very quickly and drive to resolution",8,"I often forget to check the service desk listing for new things as they are being added, but i'm mostly familiar with a lot of the available services.",7,"I have interacted with the TOC and TAGs when needed, but it's not a common point of interaction for me.",9,These are valuable tools that help us understand our community metrics and our areas of investment/maturity,3,"Each project maturity proposal I have driven has been a very long and arduous process all around (e.g. sandbox x1, incubation x2, and graduation x1)","Really happy with the security audit services, those have been great for maturing our projects. Also super happy with all the opportunities we have for our projects to be featured and connect with the community at Kubecons. Those are great! (maintainer tracks, contribfest, project pavilion, etc.)","I've done it multiple times for multiple projects and It did mostly match my expectations. The process is very long though without clear timelines for next steps and follow-ups. It is very hard to know when you will be completed or even when you'll get a response. There's also a lot of discussion about changing the process, adding/removing things, which makes it more difficult to navigate also.","The requirements are mostly reasonable right now, it's more the validation/feedback process and timelines that are challenging.",I'm not sure I can think of a new service that isn't already offered,"I wonder if it would make sense to have more ""guidance"" offered from the CNCF to the projects. Right now the model is mostly on the project's to find and utilize the available services, but perhaps the CNCF offering suggestions for each project on what next steps they should take would be useful."
A vendor of cloud technology,Clusterpedia and Containerd,No,,Yes,"Kubernetes, Harbor,Kubeedge",10,,10,,10,,8,,7,,9,,9,,Provides a better way to conduct regular meetings,"We have not applied yet, we are still actively working on new features",None,Hopefully there are some discounts on kubecon for sandbox project maintainers,
A vendor of cloud technology,open policy containers (opcr),Comments:,"We have not so far, but that is largely due to lack of understanding how the system is (supposed to be) working",Yes,"OPA, Oras, OpenFGA, CoSign",8,,10,,9,,7,Definitely not a complete view of all the resources and programs available,6,No,N/A,Have not been able to leverage them so far,N/A,We have not had any interaction so far,Marketing and events,The project is not ready to level up,No opinion right now,Hard to determine when not completely understanding is is already being offered.,
A vendor of cloud technology,Meshery,No,,Yes,"Kubevirt, WasmEdge, Karmada, Kuma",10,,9,,10,,10,,8,,8,,10,,"Very friendly CNCF Staff, the response time is quick and satisfies our questions",We havent applied as its still growing and personally we feel we need more time :),I feel they are perfect and the criteria to move them are really good.,"Not sure if this already exists, but Mentorship can be extended for professionals as well. This can benefit professionals who come back after a career break or want to bridge a skill gap",N/A
An End User company (not involved in direct monetization of CNCF projects),Kuberhealthy,No,,No,,9,The wonderful support and public value acknowledgement.,9,,9,,8,,9,,7,,8,,Speaking opportunities. Docker and GitHub CI credit.,The project is not ready for the next level yet.,They seep appropriate!,None,
A vendor of cloud technology,Kubernetes,No,,Yes,etcd,5,"Neutral, negative. This foundation, along with the series of LF LLCs, feels over rotated toward perpetuating its funding versus perpetuating technology outcomes for the world.",8,,7,,8,,9,,4,,7,,KubeCon as a venue to bring interested parties together.,n/a,"Sufficient probably, but risk of being superficial or ""king making"".",Legal advice and directors/officers indemnification insurance.,
A vendor of cloud technology,Keylime,No,,No,,9,,6,,N/A,,6,,6,,9,,N/A,,Interaction and exposure to other CNCF projects,"Our project is undergoing a software re-design phase, and we should apply to move levels after this task is done.",The current requirements are reasonable.,Hosting of CI/CD (including VMs and bare-metal servers) for projects.,
A vendor of cloud technology,KEDA,Yes,,No,,8,,6,,10,,8,,9,,9,,4,,"Design, Grafana, cloud credits, etc","This was very very slow and a lot of assumptions/implicit things were done, but working with them to proceed",Undocumented? =) And going through a whole new DD doc can feel overhead.,"Contribution recognition system. I know we have Credly but this means we need designs, for which CNCF is slacking unfortunately",
A vendor of cloud technology,OpenFunction,No,,Yes,fluent，kubeedge,9,,7,,8,,5,,6,,6,,8,,I can gain enough visibility from the project to be able to learn more from it and to keep developing and improving it.,"No, I'm not really interested in that.",I think it's very appropriate at the moment and have no other opinion.,I think it's very appropriate at the moment and have no other opinion.,
A vendor of cloud technology,SuperEdge,No,,No,,10,,10,,10,,10,,10,,10,,10,,kubernetes,fine,fine,meeting,
A vendor of cloud technology,sealer,Yes,,Yes,dragonfly,7,,8,,9,,9,,10,,9,,9,,all,yes,nice,none,
An End User company (not involved in direct monetization of CNCF projects),Tremor,No,,No,,9,,10,,10,,8,,6,,9,,3,,"The community, the technical support, and in the past the Mentorship programs were lovely.",-/-,-/-,-/-,
A vendor of cloud technology,Paralus,No,,Yes,Clastix,8,"It promotes Innovation and transparency, reduces organizations to spend time, effort and money on building similar tools as part of their larger goals.",7,"It could be more, as a maintainer there's not a lot of communication that happens. Or may be am not aware as yet, probably a dedicated slack channel or other means on regularly interaction would be of more help I suppose.",N/A,,7,"Whenever a project is inducted into Sandbox, probably a session / presentation to all maintainers on what the various resources and programs along with what's instore for future can be helpful.",5,Not really.,8,"Again, if only I had known about all these earlier during project induction it would have been better",9,,Exposure to cncf landscape and ecosystem,I believe we are yet to satisfy a few elibility checks to move into next level,NA,Induction process,Induction process
A vendor of cloud technology,Thanos,No,,Yes,Prometheus,10,"Yes, it is amazing to see CNCF supporting OSS, and the effort they put in, whether that be for KubeCons or things like LFX mentorships, to help onboard newer generation of contributors.",9,,10,,7,,7,,9,,N/A,Haven't really had to interact with TOC.,The LFX mentorship and conferences.,I haven't applied. Thanos is an incubating project. We already have many different vendors and organizations adopting it and have maintainers with different affiliations. But we have some progress to make before we are ready for graduation.,I think it is a reasonable and quite mature way of handling it.,Documentation help. It is a common need across many projects. Having dedicated technical writers helping out across different projects might help accelerate end-user adoption.,
A vendor of cloud technology,Chaos Mesh,No,,No,,7,,9,,10,,6,,6,,7,,N/A,,"I don't know how to answer this. Maybe there are a lot of people using it, and then we learned a lot of problems from using it and improved a lot?","While I can't speak for everyone on our team, I can tell some facts. Our team is under pressure to survive and has no extra energy to think about more (at least in the recent phase, it's not that CNCF did anything wrong, it's our problem and we're doing the best we can). And sorry for the late reply to this survey, we can't work on the CNCF project every day now, we do most of it in our spare time, but again we don't want our spare time to be completely consumed. Here's the previous story: . Thanks for your understanding.",Same as above.,No. I think you guys are doing a great job! Our CI testing environment was provided by CNCF (all of them are bare metal) and that helped a lot.,
A vendor of cloud technology,Volcano,No,,Yes,,10,,9,,9,,9,,4,,5,,7,,KubeCon and CNCF blog,We move project from sandbox to incubating last year. We are planing to apply to move next level.,"There are different requests for project in different stage. For Volcano, we have lot's of users in china. We are expecting more oversea users in next levels.",The workshop online or offline to help to introduce project for more usres.,
Neither,OpenFunction,No,,No,,10,,10,,10,,10,,10,,10,,10,,"What I am most satisfied with is the ecological environment in which the project is located, which helps our project to grow rapidly",I have no mature opinion on this,I think this part is reasonable,I have no mature opinion on this,
Neither,OpenFunction,No,,Yes,Fluid,9,good ecosystem and resources,8,I didn't involve a lot here,6,I try to open a ticket previously but at the end no further response,7,,6,,9,,N/A,,NA,NA,NA,NA,
A vendor of cloud technology,OpenCost,Comments:,lurk in channels and drop in at KubeCon meetings,No,,9,,9,,10,,9,,8,,8,,7,,Availability of spaces at events (booths/kiosks/meeting rooms),Applied for Sandbox->Incubation. It's going slow and I've been told it will take months.,"Process seems like it should be fine, apparently understaffed and slow.",Reaching out to new projects to let them know what engineering resources are available.,
A vendor of cloud technology,Volcano,Yes,,Yes,Kubernetes,10,CNCF provide a great guidance for the new open source projects.,10,,10,,10,,10,,10,,10,,Help our product environment on resource management.,Did not apply for now; waiting for more contributions.,It's better to give more guidance on graduation,Help to provide more meetup for global.,
A vendor of cloud technology,FabEdge,No,,No,,10,,N/A,,10,,N/A,,N/A,,8,,N/A,,Reputation.,We're ready an sandbox project and working hard for incubation project.,We think it's reasonable，nothing to complain.,No.,
A vendor of cloud technology,Longhorn,No,,No,,10,,9,,9,,8,,8,,9,,N/A,"Recently did not have any requests, but will update if having any feedback later.",Having chances to promote projects at KubeCon Cloud Native events.,"Longhorn has been promoted to incubating level, and the process is smooth and expected.",LGTM.,Does CNCF provide services to help projects save artifacts/container images on Dockerhub? This is more about a question.,
A vendor of cloud technology,Merbridge,No,,Yes,Istio,10,,10,,10,,9,,9,,10,,9,,CNCF has made my project more noticeable to people.,"For now, it doesn't meet the upgrade conditions due to a lack of sufficient users.",There's a long way to go.,There are no requests for now.,
A vendor of cloud technology,BFE,No,,No,,10,CNCF is very helpful for cloud native open source project,10,,10,,6,,6,,8,,8,,the annual survey data for each project,we plan to move to incubating project in 2023. we are preparing for it.,the current requests and requirements are ok,the annual survey data was available for sandbox project before 2022. and it is not available for sandbox project after 2022.,
A vendor of cloud technology,OpenTelemetry,No,,No,,10,"(for large, multi-vendor projects)",5,it would be great if more folks could be allocated to answering/resolving CNCF service desk tickets,5,it would be great if more folks could be allocated to answering/resolving CNCF service desk tickets,8,,1,,7,,N/A,,ServiceDesk - it's really great to have this support available to us,n/a,n/a,consistently faster response on service desk tickets,
A vendor of cloud technology,"Kyverno, kube-vip",No,,Yes,"Flux, Argo CD, Kubernetes",8,,8,,5,,6,,5,,7,,N/A,,LFX mentorships,They matched our expectations,Seems reasonable,"Assistance and infrastructure, expertise around scale and performance testing",
A vendor of cloud technology,Kubernetes,Comments:,"I try and engage with TAG-CS, but not as much as I'd like.",Yes,"etcd, containerd, istio mostly - others more in passing. Kubeflow right now with the donation process.",8,"Staff are solid, but the TOC and process to enter/graduate are not great (I know they're actively being worked on)",10,Kubernetes does get significant support from the CNCF. IMO - more transparency around budget etc might help with others perceptions,9,90% yes - usually theres at least a quick ack. For items that can sit for awhile (e.g. license review) an occasional status update would be useful.,10,,10,,10,,N/A,I know most of the TOC on a first name basis - my answer probably wouldn't give an accurate representation of their response time,Events (The kubernetes contributor summit),"Not for Kubernetes, but for Kubeflow getting a response from the TOC on things was difficult - once Ricardo was engaged though it went quickly. For projects like grpc and falco they went MONTHS without any contact from the TOC after a promise to revisit.",Okay'ish - I wish there was a higher bar for sandbox.,"Telemetry service built off of Russ Cox's implementation for golang (https://research.swtch.com/telemetry-intro). Its telemetry done right in terms of design. As for reason why, projects are struggling to get real feedback and its hard to determine if some older implementations / tech debt is still needed - like is there only a very small subset of users (like arm32), then the project can make the call to drop support and prioritize things that impact a larger # of users.",
A vendor of cloud technology,NATS,No,,No,,5,CNCF feels like it's mostly focused on Kubernetes.,N/A,I don't pay attention to that side of things,8,,2,,3,,5,,N/A,,-,"I haven't applied, but others may have done so. I focus on other things than the CNCF.",No opinion.,"CVE Numbering Authority, so I could get CVEs assigned internally without waiting days to weeks for CVEs for security issues.",
A vendor of cloud technology,NATS,No,,Yes,Cloud Events,5,,4,,7,,7,,7,,8,,6,,The visibility being in the CNCF provides the project.,"Yes and no it did not. In our efforts to graduate, it felt as though the bar was moved frequently and even though the project met the letter of the requirements, the subjectiveness of the TOC kept the project from graduating.",The requirements are mostly valid as written - but with the added 'opinions' from the TOC it makes the requirements less realistic.,n/a,
A vendor of cloud technology,NATS,No,,No,,7,The graduation roadmap we have been unable to turn it into something that adds value to the users.,6,Not a lot of visibility during the KubeCon for the project.,10,,6,,1,,7,,5,,NA,Not familiar with moving levels.,It is not very clear and takes more energy than value from the outcome.,More help with community building around a CNCF project and content generation. A lot of CNCF projects are unaware of each other so there is not a lot of synergy.,The LFX mentorship program is really good.
A vendor of cloud technology,Thanos,No,,Yes,OpenTelemetry,9,,6,,10,,3,,4,,8,,6,,-,N/A,-,-,
A vendor of cloud technology,Cloud Native Buildpacks,No,,No,,9,One of the best foundations with a lot of active projects + community.,8,,10,Super fast turnaround on service desk.,3,"There are a lot of services provided, but we're definitely not taking advantage of most things.",7,,10,,N/A,,ServiceDesk + KubeCon/Cloud Native Con support.,"When we moved from sandbox to incubation, it was during a time of large ToC change. In addition, it was hard to drive clarity what ""end user"" meant as a specification project.","I think the requirements are mostly fair, but we haven't done much work looking into graduation.",Something we're struggling with is understanding who and how people are using our project. Every KubeCon we meet new end users we have no idea about.,It'd probably be helpful to sit down from the CNCF of what services we could/should we taking advantage of to help grow the project.
A vendor of cloud technology,OPA,Yes,,No,,7,Wide community and expert advice access,5,,6,,6,,8,,6,,N/A,,Metrics and TAG access,NA,Process can be made more clear and simple.,Regular security testing,
A vendor of cloud technology,Porter,No,,No,,10,,8,,10,,8,,8,,10,,10,,The support from the CNCF committee on helping me onboard onto Porter,n/a,n/a,n/a,
A vendor of cloud technology,crossplane,No,,Yes,kubernetes,8,,5,,9,,6,,5,,7,,N/A,,The stand in KubeCons.,We’re working towards graduation but we’re not there yet.,I think they make sense. Stricter than we’re able meet yet but that comes with just as much credibility.,Bridging with new users could be one way.,
A vendor of cloud technology,OpenTelemetry,No,,No,,8,,6,,4,Legal is taking ages to provide guidance on ,7,,5,,9,,N/A,,"Funding for Outreachy interns, exposure at KubeCon (although, the more, the merrier).","I did in the past for Jaeger and felt like the benefits of graduating didn't justify the work. We have not moved yet on OTel land, as we have to convince ourselves we are ready for graduation first.","I need to catch-up on the current requirements, but my experience with the Jaeger graduation is that a lot of questions were not applicable and we spent much time on things that weren't really relevant.","Quality Engineering, so that we could have dedicated folks working on benchmarks, load/performance testing, and so on. This kind of work is hard to get done by regular maintainers.",
An End User company (not involved in direct monetization of CNCF projects),SPIFFE/SPIRE,No,,No,,8,,9,,6,Took a very long time to just get AWS credits.,8,,7,,7,,N/A,,Visibility. Strong community.,Yes. No specific comments.,Seems fine.,"More cloud service credits. Our project has integrations with AWS, GCP, Azure and we currently lack the ability to frequently test our integrations and ensure they stay healthy.",
A vendor of cloud technology,k8gb,No,,Yes,Crossplane,10,,8,,10,,7,I need to revisit it from time to time,7,,10,,10,,CLOMonitor,Waiting for more adopters before applying for Incubation,reasonable,Some basic infra for e2e testing in one of the cloud providers,
A vendor of cloud technology,OpenFGA,No,,No,,10,- The services are valuable and being a CNCF project improves the credibility of the project.,10,,10,,10,,10,,10,"We found CLO Monitor very valuable, and we got OpenFGA to 100 points :). ProjectHealth is difficult to navigate/understand health relative to others. We use the developer-activity-counts-by-repository-group-table table as a way to measure OpenFGA adoption",10,,Being invited to have a Kiosk/Project Meeting at KubeCon Europe was awesome.  FOSSA/Snyk/Enterprise Github are very useful.,"We are planning to apply to Incubation this year, but we are not sure that we have enough community traction yet.",I think they are fine.,- Discounts in KubeCon admission tickets? :),
A vendor of cloud technology,Strimzi,No,,Yes,"OpenTelemetry, Kubernetes",10,,8,,10,,8,,6,,8,,6,,The support for CI/CD pipelines on Azure,We are struggling to move to incubation. The PR is opened since one year but even if we have got a sponsor assigned we don't see any progress since then.,See previous answer,I am fine with what we have,
