My employer is (select one):,Which CNCF Project(s) are you currently maintaining?,Do you participate in a Technical Advisory Group?,,Do you interact with or engage with other CNCF projects outside of the ones you maintain? Which ones?,,"Would you recommend CNCF to other open source projects, and why?",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)",,"Are you satisfied with the support your project received at live CNCF Events (e.g., Project Pavilion, Co-Located events, Maintainer Talks)",,Did you feel that the CNCF staff responded quickly to your requests?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Do you have a good understanding of the Technical Oversight Committee and Technical Advisory Groups and know how to engage with them?,,"Do you find the metrics provided by the CNCF (DevStats, CloMonitor, Project Health) valuable for the needs of your project?",,Did you feel that the Technical Oversight Committee responded quickly to your requests?,,What project benefits are you satisfied the most with?,"If you have applied to move levels, did the process for moving levels match your expectations? Why or why not? If you haven’t applied, why not?",How do you feel about the current requests and requirements of projects moving levels or after graduation?,What services do you wish the CNCF provided that it doesn't currently?,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
A vendor of cloud technology,Kairos,Yes,,No,,9,meeting other people and working together,4,"We are a sandbox project so we don't really get much support, specially in the marketing/events area",N/A,"we will do our first project pavilion in KubeCon HK so still need to find out, and we have sent plenty of talks but haven't really increased our acceptance for being a sandbox project",N/A,"So far the only interaction has been in the onboarding and cfp, so cannot really tell",Strongly agree,,4,I know a bit about it but haven't really digged into it.,8,,N/A,,"Too early to tell, but my guess is that project Pavilion will be the best for us. The github action workers have also been helpful",we just got accepted to sandbox,"haven't looked into it, we first want to settle here before we look into the next level","- Training discounts for maintainers - having a buddy program would be nice. There's so much and too little time to get into. I think it would be very beneficial if for a period of time a project would get a ""buddy"" that would have answers to most common questions, or would know who to reach and ideally could mentor how to get well settled and plan accordingly for a next level eventually","overall great job from the CNCF, thanks for the opportunity and looking forward to making the ecosystem stronger with our projec"
A vendor of cloud technology,Harbor,No,,Yes,"Kubernetes, Rancher, kubewarden",Strongly agree,,9,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,kiosks at KubeCon,NA,clear enough,more help in finding maintainers and companies to help,
A vendor of cloud technology,Capsule,No,,Yes,,5,"We donated Capsule to the CNCF expecting more business opportunities, it didn't work at all, rather, we saw people using it and paying third companies to get support.",Strongly disagree,,Strongly disagree,I don't have enough money as a small business owner to pay me a ticket to serve booth duties.,4,The ticket mechanism is a bit clumsy.,Strongly agree,,6,,5,,5,,Project Pavilion booth,Not aware of this,N.a.,"Free tickets for maintainers, forcing Linux foundation organizations to clearly state they're using CNCF projects.",
A vendor of cloud technology,Keycloak,No,,No,,4,Our experience with submitting to CNCF and onboarding has taken a very long time and effort,4,,6,,3,,7,,Strongly disagree,,2,,2,,None really,"Still on-boarding to initial level (incubating), and have not looked at process for moving to graduated, based on our experience with submitting and on-boarding it is not something I'm looking forward to","Not sure, been a while since I've looked at these","A dependency health service that can determine the health of project dependencies. The health of a dependency can be determined based on current state of the applicable open source project. Is the project responsive to CVEs, does the project follow open source best practices, is it an active community, etc.",
A vendor of cloud technology,spiderpool,No,,Yes,cilium kubernetes,Strongly agree,,7,,7,,8,,4,,3,,8,,5,,Maintainer and project event in kubecon,My project is still not ready to apply for next level,I have not spent time getting to know about that,"provide free tickets of Kubecon for major maintainers of all CNCF projects, for example 3 persons per project at most",
A vendor of cloud technology,OpenTelemetry,Yes,,Yes,"Kubernetes, Prometheus",9,,8,,Strongly agree,,7,,3,,4,,7,,N/A,,"Github actions, cloud credits",n/a,sensible.,more mentorship opportunities to onboard and engage with new grads for contributions.,
A vendor of cloud technology,Open Telemetry,No,,No,,7,,7,,5,,4,,Strongly disagree,,6,,6,,N/A,,Third-party governance,N/A,N/A,Lawyers about licensing problems,
Neither,Thanos,No,,Yes,Prometheus,Strongly agree,,7,My only real complaint is the lack of diversity in mentorship program applicants (mostly guys from India) and lack of quality. Nowadays I sometimes feel like I'm wasting time mentoring and thus I'm not doing that anymore.,Strongly agree,,Strongly agree,,Strongly agree,,N/A,No clue what they do TBH :D,Strongly agree,,N/A,,"Marketing, mentorship programs, free infrastructure, hosting","N/A, we haven't done that yet due to lack of motivation",I'm not familiar with them,N/A,
A vendor of cloud technology,"Crossplane, Rook",Comments:,I keep up with a few TAGs but am not actively participating,No,,9,,9,,8,"The event support we get is fantastic, we love it!! But we were a bit disappointed for the most recent Kubecons where we haven't been able to participate in all the events that we want to, e.g. our Contribfest was rejected, we only get to have a half-day booth at the project pavilion, etc.",9,The staff does an great job of responding to requests!,8,"There are always more being added, hard to keep up with ;)",8,,8,"Yes, this data is useful, but I would love to have a better understanding of how to customize this data and dive into certain queries/insights that aren't currently exposed",6,"The TOC does great work but absolutely is a bottleneck for projects maturing through the various levels, e.g. possibly a full year to graduate","The opportunities at Kubecon are awesome, we love participating in every one that we can, which is why we're disappointed when we don't get accepted for them. The tooling support has been continuing to grow as well, for instance we're really excited about using Dosu soon and we even got to chat with their founder about a roll-out plan.","I've applied I believe 5 times now to various levels across both Crossplane and Rook. The process is good from the perspective of what questions get asked, what data is presented, and the diligence that is performed - but it takes such a terribly long time. My expectations have over the years gotten to expect this long time, but I do wish it was faster.",I am feeling some disappointment with the graduation process getting changed after our proposal/application was already opened and while we were waiting for TOC sponsor/review. It's a bit unfortunate that we have to go back and redo our application again with the new format.,"Staffing full time maintainers would be very awesome, but probably not practical :)","The foundation keeps growing and the community is awesome, keep up all the positive interactions and contributions to an awesome ecosystem! :)"
A vendor of cloud technology,Antrea,No,,Yes,Kubernetes,Strongly agree,"Being part of CNCF increases the visibility and credibility of open source projects, attracting more contributors and users.",Strongly agree,,9,,Strongly agree,,9,,Strongly agree,,Strongly agree,,Strongly agree,,Enhanced visibility and credibility,"I haven't looked into the process myself but I heard from my partner that we didn't have a good number of publicly documented adopters, we checked a few adopters but they preferred not to be publicly documented given the complexity of the company’s legal process. I feel it may be related to the project's sandbox level state, so it's a bit contradictory.",I'm not sure whether there is an actual blocker for our project to move level. We'll probably try it this year and see if there's anything we need to improve to get to the next level.,I think we are good at the moment.,
A vendor of cloud technology,buildpacks,Comments:,I have no idea what it is,No,,Strongly agree,It will allow the project to be exposed in a great community,Strongly agree,,Strongly agree,,8,,6,,5,,Strongly agree,,N/A,,scholarships,"We applied for graduation, it's been fine so far, we are fixing some feedback","I think they are ok, not to difficult either too easy","Find some way to help maintainers, maybe some budget or something, several colleagues are being lay off and they would like to keep contributing open source",
A vendor of cloud technology,"a lot :) kubernetes, helm, falco, ...",Comments:,"not yet, but would love to",Yes,"sigstore, protobom, ...",9,,8,,6,can have more space for Maintainer Talks of subprojects,8,,6,dont have much idea on that,8,,8,"but need to improve, there are some data that is not correct or outdated or missing",7,,n/a,n/a,n/a,n/a,
A vendor of cloud technology,Harbor,No,,No,,8,,9,,9,,Strongly agree,,8,,7,,8,,N/A,,Can't tell,N/A,N/A,"Maybe some Business, OSS support",I have the feeling once a project is on level it can only move upworad one way. There should be a way where project are moved into a state that indicates that the project is not at the level it should be. IMO there are project in a state wehe they should not be anymore.
An End User company (not involved in direct monetization of CNCF projects),Paralus,No,,Yes,"cluster-api, KubeArmor",9,,7,some extra support in marketing would be great help.,9,,8,,7,,7,,9,,9,,resources and programs,We are not applied to move levels yet as we lag the necessary requirements.,they are good.,Nothing.,
A vendor of cloud technology,Kyverno,No,,Yes,Notary,Strongly agree,,Strongly agree,,Strongly agree,,9,,Strongly agree,,Strongly agree,,Strongly agree,,9,,The free bare-metal servers for our scaling tests.,I think so. The toc has refreshed the Graduation criteria recently and we are working on finalizing it and filling the issue for graduation.,"The overall timeline seems longer than before, and the process only starts after a sponsor picks up the project.",n/a,
A vendor of cloud technology,Vitess,No,,No,,Strongly agree,,8,,Strongly agree,,9,,8,,5,,9,,N/A,,"Access to interns using LFX, marketing at KubeCon + CloudNativeCon, access to machine for running CI.","I don't understand what you mean by move levels. If it is about progression from incubating to graduated projects, etc, then Vitess was already a graduated project by the time I started contributing to it.",N/A. I haven't seen what is required to move levels.,Nothing that I can think of at the moment.,
A vendor of cloud technology,Prometheus,Comments:,"I used to participate in TAG Observability, but stopped attending one or two years ago.",Yes,"OpenTelemetry, Kubernetes",8,"The CNCF does a great job at fostering OSS projects. I don't imagine the success Prometheus has today if it wasn't for CNCF. However, I do feel like CNCF is accepting way too many projects and it's attention and support is spreading too thin.",8,I love the mentorship programs!!! That's were I came from and where I focus my attention the most. The marketing efforts are super useful as well. I haven't engaged with CNCF for other things,5,"The setup of Prometheus Booth at KubeCon is good, it's good to know that we have a ""base"" in those events. Maintainers talks, co-located events and others things like that are kind of a mystery to me. I'm lost most of the time and I don't know how to do or what's expected from me.",N/A,"To be fair, I've never requested anything from CNCF personally (I don't know how to)",Strongly disagree,No I don't. Would it be useful if new maintainers go through an onboarding process? Something that can be centrilzed by CNCF but at the same time extended to each project's singularities?,Strongly disagree,TOC is for governance and TAGs for technical stuff? I'm taking a guess here,7,"Most of them provide really cool metrics, there's just no training or orientation about how to use them to our advantage.",N/A,I've never requested anything (I don't know how to or what can be requested),"While there's always room for improvement, the mentoring programs are SO helpful. It's the best way to get people onboard to our projects and where most of our long-term maintainers come from. GSoC is 100% perfect. LFX is a bit harder due to: 1) Prometheus is a database. There's a ton of complexity for performance reasons and 3 months is not enough time to onboard anyone, especially when most LFX candidates are college students. --- KubeCon and PromCon are awesome opportunities to meet the community and fellow maintainers. It would be a lot harder to do those things if CNCF didn't exist :)","What is ""level"" in this context?","I'm a bit afraid of sounding too bitter, which is not my intention, but it feels like CNCF accepts literally anything as Sandbox Projects... making the landscape ridiculously big. A few years ago, being a CNCF project was a signal that the project was solid and a decent amount of people were working to make it successful. Today, each new Sandbox project takes the space of a solid Graduated/Incubated project, and being a CNCF project doesn't sound exciting anymore.","Unified onboarding for new maintainers, something like GreenHouse.","I'm sorry if I sounded too bitter on the feedback I've shared above. I think CNCF is great, it's the main reason so many projects are the standard in the industry today! I'd love to see CNCF focus more on the already accepted pojects, making sure the community understands what CNCF offer to us :)"
A vendor of cloud technology,WasmEdge Runtime,No,,Yes,Many related to container runtimes and AI,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,8,,8,,N/A,,LFX mentorship programs,It has been a slow process.,They are fair.,N/A,
A vendor of cloud technology,Kyverno,Comments:,I co-chair the CNCF Kubernetes Policy WG,Yes,"Notary, Karpenter, and a few others which are in the OpenSSF.",Strongly agree,,8,,6,"There should be preference for Incubating projects for the projects pavilion, since they are recommended for production usage. With all the sandbox projects, TAGs and WGs, seems like the pavilion needs to be expanded.",8,,6,,6,"Its not clear if projects should be actively reaching out to the ToC, and how to engage.",9,,5,,"KubeCon maintainers track, livestreams, blogs.","The process changed after we had applied, and we are still waiting on a ToC sponsor.","The process needs to be sped up, so projects do not wait indefinitely.","Formalize project conformance / certified distributions program, and recognize the companies that sponsor projects.",
Neither,Jaeger,Yes,,Yes,,Strongly agree,The support is wonderful along with awareness and marketing. We love the mentorship programs too!,Strongly agree,"Not sure about budget, but the rest is great",Strongly agree,,Strongly agree,,8,,Strongly agree,,Strongly agree,,N/A,,"Kubecon... Otherwise mostly tooling Github Runners, Github Copilot, Zoom, Slack. Also great to have the security slam and programs like CLOMonitor. Currently, we are testing Dosu!",N/A,N/A,"More technical writing and proactive feedback, we do not get any from the CNCF.",
A vendor of cloud technology,LitmusChaos,No,,Yes,"KEDA, OPA",8,Great umbrella of projects with widespread adoption,7,,2,In general the process of selecting and rejecting CFPs for KubeCon and other CNCF hosted events should be more transparent. There should be an account of the perceived value vs the actual value of any talk.,8,,8,,6,,8,,5,"The application process for a project moving from Sandbox to Incubation to Graduation should be more streamlined, as it is it's very slow and puts a lot of emphasis on TOC members, which may be delegated to other factions as well.",Visibility alongside the other good projects Mentorship opportunities Rich community,It didn't quite meet the expectations as the process was very slow and it relied heavily on TOCs. The process shall be decentralised and be streamlined.,"They are very reasonable, but defining some sort of framework will be good. Also, the interest of the users shall be weighed in as well, there are projects that have been archived even when there are users using them. This creates a lack of confidence among them.",More empowerment for developer advocacy and project evangelism,
A vendor of cloud technology,"WasmEdge,kuasar",No,,No,,8,,8,,8,,Strongly agree,,6,,6,,7,,8,,LFX mentorship,We are working on it. The process works as expected.,There are some details that we don't know at the beginning. Thanks for the advise from the reviewers. It helps us a lot.,"More powerful CI runners for the various platforms. Since there are more AI-enabled features in our project, we would like to have CUDA-enabled or Apple Silicon CI runners to verify the AI/LLM related workflows and release assets.",
A vendor of cloud technology,Knative,No,,Yes,CloudEvents,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,5,,4,The UI for devstats is terrible... so hard to navigate,N/A,,Project Pavilion at kubecon,yes,"its good, but the process may be quite slow I guess?",n/a,
A vendor of cloud technology,Buildpacks,No,,Yes,"Sometimes, in-toto",Strongly agree,The support we have received has always been amazing,Strongly agree,,Strongly agree,,Strongly agree,,7,"Kinda, but we definitely haven't taken advantage of all of them",5,Others within the project do but not me,7,Haven't dug into them too deeply but metrics are always wonderful,N/A,,Support for mentorship and Google Summer of Docs,"We have applied, it has been slow, but that is mostly due to our project and maintainer availability",All seems fair,"We requested support for managed ARM runners but it seems the CNCF ran out of budget. Offloading management of the runners would be a huge relief for us! I have often yearned for practical, hands-on advice and stories from other projects for increasing overall security. I feel like a lot of us are re-inventing the wheel. For example we have a bespoke GitHub action for checking for CVEs in our supported releases. It would just be nice to know what other projects are doing.",Thank you for everything you do for open source!
An End User company (not involved in direct monetization of CNCF projects),KubeArmor,Yes,,Yes,,Strongly agree,,9,,8,,Strongly agree,,8,,6,,Strongly agree,,N/A,,Outreach Programs,"Not really, it's been a bit delayed and the current status is not very transparent.","I understand it being a slow process but would really appreciate if the process was more transparent. As in, what stage of review is the project in, is it in a queue and when will it be reviewed?",More interaction of TAGs and TOC with the project maintainers.,
A vendor of cloud technology,Carvel,Yes,,Yes,"OLM, Kubernetes",Strongly agree,,7,,9,,Strongly agree,,7,,Strongly agree,,8,,Strongly agree,,Maintainer scholarships and mentorship programs,We are still in the process of checking boxes to apply for incubation,NA,Centralised adoption tracking.,
An End User company (not involved in direct monetization of CNCF projects),"Prometheus, Thanos",No,,Yes,"Kubernetes, Harbor, Dragonfly, containerd, etc.",9,,9,,9,,9,,7,,9,,Strongly agree,,7,,"Marketing, infrastructure funds, etc.","Yes, it's been a while, but it was smooth.",They are ok.,"I have been saying this constantly, but CNCF events should be free to the project maintainers. This would enable many maintainers to engage with the community, which is what we do when we attend the events anyway. To get a ticket, we need to submit a talk or apply for the scholarship. This is one thing CNCF could easily do. On top of that, CNCF can support 1-2 maintainers of graduated projects to make sure the project is healthy.",
A vendor of cloud technology,Vitess,No,,Yes,Kubernetes,9,,9,,Strongly agree,,9,,9,,9,,Strongly agree,,N/A,,"GitHub resources, Kubecon programs.",N/A. I wasn't involved in Vitess graduation.,I hope maintainers are not going to be burdened with a lot of post-graduation requirements.,Providing staffing for community maintainers. This is very hard to do for technical maintainers in a sustainable way.,
A vendor of cloud technology,MetalLB,No,,Yes,"Kubernetes, Kind",9,,Strongly agree,,N/A,,Strongly agree,,9,,9,,9,,9,,Various services,"Did not apply. Mostly, lack of contributions from other companies",Seem fair,Nothing I can think about.,
A vendor of cloud technology,containerd,Yes,,Yes,,7,,6,,9,,Strongly agree,,Strongly agree,,9,,8,,N/A,,Talks and services,Yes,No issues,Documentation and technical writer help,
A vendor of cloud technology,"Istio, Kubescape",Comments:,"No, they are hard to be meaningfully engaged with outside of US/Europe hours.",Yes,I'm the GB rep for all projects.,Strongly disagree,"The CNCF isn't clear on if it is a clearinghouse for projects from its platinum vendors, or an incubator for software from ISVs. It doesn't offer a clear way to make money on a project for an ISV, yet it is a cost of admission to the community.",Strongly disagree,"We gave up our own event in favour of a co-lo at KubeCon, and we're now being bumped down to a half day.",Strongly disagree,"Too many projects, not enough differentiation; I have proposals incoming on how to make KubeCon better for projects.",3,"A bunch of requests outstanding, including at the management level. Onboarding in the past has been fraught also.",Strongly agree,,Strongly agree,,7,devstats is useful; others suggest false equivalance between projects,Strongly disagree,The length of time for a project to be considered for moving levels is completely unsatisfactory,"""being in the club"", which","The recent overhaul has made things worse, and Kubescape is no closer to consideration.","Weighted in favour of the projects that joined earlier, and not reflective of what members and end users actually want or expect from projects.","Proper vendor neutrality, such that a multi-vendor project is not disadvantaged vs. an ISV project.",
A vendor of cloud technology,Dapr,No,,No,,9,,8,Once you start to understand and have request. But getting resources for cloud testing has been next to impossible and this must be a frequent ask. For example we have never managed to to have GCP to run test to ensure that we can be compliant on their platform. AWS has helped. Would love to see a proper program in place for covering cloud cost supported by the three major clouds.,9,I have had an ongoing request to enlarger the AppDeveloperCon event. Would like to see this happen at KubeCon EU 2025,9,,8,"Mostly, but see cloud cost coverage request above.",5,"It would be good to see the AppDeveloper TAG group listed here, so that this shows the CNCF is focused on cloud native application development.",8,Partially. The sideway scrolling of Project Health without locking the first column is a hard UI to follow as a minor point. It also confusing that there is now also https://insights.lfx.linuxfoundation.org/foundation/cncf and not all the data seems to align. So when do you use which tool?,8,"For the short engagement on Dapr Graduation yes, so far. I will know more over the coming months",N/A,In the process of this now.,"The process of selecting a project sponsor was unclear. With the template for Graduation, I found some question were overlapping in their requirements and asked for essentially the same thing.",Project Management for each Graduated CNCF project (as in a specific person that can navigated CNCF) so that the demands of the project are not as much on the Maintainers to figure it out.,
A vendor of cloud technology,"Helm, SOPS",Yes,,Yes,Argo CD,9,The CNCF is one of the most respected projects fostering,8,,7,,9,,7,,8,,N/A,"I do not currently use these tools, but know that I should become more familiar with their capabilities",8,,Visibility within the cloud native community,"When I joined as a maintainer of the Helm project, it had already achieved Graduated status. SOPS was recently accepted as a Sandbox project",Satisfactory,None that I can think of at this time,
