Respondent ID,Collector ID,Start Date,End Date,Which CNCF project(s) are you maintaining?,Do you feel that CNCF reached out to collaborate and gather info about your project needs?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF staff responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.",,"Did you feel that the CNCF TOC responded quickly to your requests?10 - strongly agree, 1 - strongly disagree.","Are your documentation needs being met (e.g., website, tech writing)?10 - strongly agree, 1 - strongly disagree.",,"Are your CI needs being met (e.g., GitHub Actions etc)?10 - strongly agree, 1 - strongly disagree.",,"Are your security needs being met (e.g., security audits)?10 - strongly agree, 1 - strongly disagree.",,"Are your non-CI tooling needs being met (e.g., bots or automation)?10 - strongly agree, 1 - strongly disagree.",,"Are your marketing needs being met (e.g., events, velocity reports)?10 - strongly agree, 1 - strongly disagree.",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)10 - strongly agree, 1 - strongly disagree.","Would you recommend CNCF to other open source projects, and why?10 - strongly agree, 1 - strongly disagree.",,"Do you find the CNCF DevStats tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"Do you find the CNCF Cloud Native Landscape tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"Do you find the CNCF End User Tech Radar tool valuable for the needs of your project?10 - highly valuable, 1 - not valuable at all.",,"What diversity efforts could CNCF help out with for your project (e.g., maintainers, mentorships, scholarships)?","What marketing efforts could CNCF help out with (e.g., project booths, webinars)?",What services do you wish the CNCF provided that it doesn't currently?*,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
13081785011,410425338,10/28/2021 10:36:37 AM,10/28/2021 06:12:06 PM,TiKV,"Yes, and my needs were generally met",,N/A,,10,,10,N/A,,N/A,,N/A,,N/A,,N/A,,8,8,,8,,10,,10,,mentorships,project booths,NA,NA
13080633362,410425338,10/28/2021 09:16:44 AM,10/28/2021 09:31:36 AM,TiKV,"Yes, and my needs were generally met",,10,,N/A,I didn't request for anything recently.,10,10,,10,,10,,10,,10,,10,10,"CNCF has provided plenty resources to help maintain the open source project, especially in the marketing place. We have been beneficial from talks to the community every year.",10,,10,,7,,There are only male maintainers in the project. It's hard to attract female to participate in infra development.,We are quite satisified with the webinars and other online programs.,Can't think of any yet.,
13076021597,410425338,10/27/2021 02:02:14 AM,10/27/2021 02:07:01 AM,trickster,"Yes, and my needs were generally met",,8,,7,,8,10,,10,,10,,10,,7,,8,9,insulated from corporate interests,8,,9,,8,,mantainers,"social media support would be appreciated. we have reached out on the socialmedia slack channel to help amplify trickster announcements that went completely unacknowledged, and this has made it demotivating for us to use social media.",n/a,
13075367945,410425338,10/26/2021 09:58:55 PM,10/26/2021 10:11:51 PM,Tremor,"Yes, and my needs were generally met",,5,,10,,10,10,,N/A,,N/A,,10,,10,,10,10,The level of attention and promptness to dealing with projects' concerns is impeccable.,10,,10,,10,,None that I can think of at the moment.,None that I can think of at the moment.,None that I can think of at the moment.,
13075155239,410425338,10/26/2021 05:22:14 PM,10/26/2021 09:00:29 PM,Pravega,"Yes, and my needs were generally met",,7,,9,,8,8,Would like more here on docs!,9,"Actions has some limitations in public repos, re: workflow re-runs",7,,7,I'm writing a github bot for Pravega...,6,not a ton of opportunities for sandbox projects,9,10,CNCF is a great home for a project,7,"Don't use it often, but it is useful.",8,occasionally go to it looking for other projects,5,didn't know about it,mentorships & scholarships,webinars & outreach,best practices around always-on k8s clusters for shared system & integration testing,Thanks for all you've done thus far!
13074968711,410425338,10/26/2021 07:50:14 PM,10/26/2021 08:00:03 PM,Operator Framework - OLM,"Yes, and my needs were generally met",,10,,10,,10,N/A,This benefit has not been used.,10,,N/A,This benefit has not been used.,10,,10,"I am a huge fan of the velocity reports, they provide great insight into the state of the project. The opportunity for CNCF to promote new features at Kubecon has also been appreciated.",9,10,"The CNCF is a trusted source among Open Source Developers. Although the process to successfully submit a project is intensive, I would not want it any other way. The CNCF submission process challenges you to create a project that is community focused and technically sound. Becoming a part of the CNCF distinguishes your project from others and ties you into a strong network of distinguished developers that are almost always happy to lend a hand.",10,This benefit has not been used.,10,It's a great landing page to understand what CNCF projects exist.,5,This benefit has not been used.,"It would be great if there were the opportunity to organize open source mentorships in local communities supported by the CNCF. These meetings could encourage young children to participate in open source, provide mentoring opportunities, and include some funding for meals.",I for one have always appreciated the number of benefits offered via the CNCF marking team. I have never felt as though our team was not afforded the opportunity to lead a webinar or attend Kubecon in a project booth.,A program that focuses on providing people outside of the CNCF with a guided tour / path to becoming a maintainer. ,Please continue to fight for the success of open source technologies!
13074730171,410425338,10/26/2021 06:41:47 PM,10/26/2021 06:46:12 PM,LitmusChaos,"Yes, and my needs were generally met",,10,,10,,10,9,,8,,9,,9,,8,,10,10,Building communities and adoption of the technologies is easy with TOC and TAG help. The structure is set up and working well.,8,,8,,7,,scholarships,webinars. Sandbox projects are not allowed to have webinars.,N/A,"I am happy overall with CNCF TOC, TAG and administration support for LitmusChaos."
13074176623,410425338,10/26/2021 03:32:03 PM,10/26/2021 03:46:52 PM,cert-manager,No,,3,,4,Migrating a GCP project to the CNCF GCP account; the responses to questions have been quick but the process has been slow.,3,3,,2,,1,,1,,1,,3,9,"Great as a sign of project maturity, even though we're definitely not making the most of the things available.",1,Not really relevant to us as far as I can tell.,1,"Wouldn't really reach for this tool as a maintainer, I don't think",1,"Never used it, wouldn't think to refer to it and it doesn't really make sense for our specific project.",Any mentorships or scholarships would be great.,"Anything from retweets to project booths would be great, I'm sure.",I think I feel like I'm lacking some kind of dashboard to show me what's available or a first-level support to point me in the right direction for things. It feels like there's nobody in the team who really knows what's available or who to talk to about that.,"My personal situation is that I'm a fairly new maintainer and similar goes for a lot of the regular maintainers at Jetstack. It's _really_ hard to know what's available or to have a clear picture of what we might need to do or how we'd take advantage of things - nobody in the team seems to have that information.    I feel like my responses in this form have seemed really negative but that's not my overall impression; I just don't know what I don't know, and I find that situation frustrating."
13073970338,410425338,10/26/2021 02:14:23 PM,10/26/2021 02:20:58 PM,Prometheus,"Yes, and my needs were generally met",,10,,10,,10,5,,8,,9,,7,,9,,10,10,"It's a great place to be, with awesome people.",6,,5,,10,,scholarships for conferences (like you do now),"I wish we could send ""thank you"" packages to great contributors",None really,Thanks for all your work
13073492951,410425338,10/26/2021 09:20:44 AM,10/26/2021 10:06:25 AM,"OAM, KubeVela","Yes, and my needs were generally met",,8,,10,,9,8,,8,,8,,4,,3,,7,10,,10,,10,,9,,maintainers,webinars,-,
13073405541,410425338,10/26/2021 08:52:57 AM,10/26/2021 09:07:20 AM,Artifact Hub,"Yes, and my needs were generally met",,6,,10,,10,N/A,,10,,3,,10,,8,,10,10,,8,,8,,6,,-,"Marketing communications to help us promote the project as much as possible, as we feel there are still a lot of users who don't know about Artifact Hub",-,-
13073309502,410425338,10/26/2021 07:49:32 AM,10/26/2021 07:54:34 AM,Linkerd,"Yes, and my needs were generally met",,8,,8,,8,6,,10,,10,,N/A,,10,,8,10,"It's nice to have a support system for OSS projects around marketing, CI, security, etc.",5,,6,,6,,"pretty satisified. We get a lot of new contribuotrs who are interested and submit specific changes. I am pretty satisfied with the overall diversity efforts around scholarships, etc",I personally am pretty satisfied with the current efforts,can't think of anything,
13073038213,410425338,10/26/2021 05:10:00 AM,10/26/2021 05:14:28 AM,Dragonfly,"Yes, but my needs were not generally met",,9,,9,,8,8,,9,,9,,8,,7,,7,9,,6,,9,,7,,maintainers,webinars,project statistics,N/A
13072132708,410425338,10/25/2021 11:31:08 PM,10/25/2021 11:40:18 PM,Open Policy Agent,"Yes, and my needs were generally met",,10,,10,,10,10,,10,,10,,10,,10,,10,10,I would recommend CNCF to anyone interested in marketing support and a vendor-neutral home as long as they're interested in pursuing cross-company collaboration.,7,"When I'm interested in drilling down into cross-company metrics, I use the tool--though I don't find myself relying on that on an extremely regular basis.",5,"I haven't looked at the landscape in quite a while and upon reflection, I notice it hasn't come up in conversation.",5,I don't see this as being a particularly useful tool for projects themselves (aside from being useful for marketing/awareness.),I think the current diversity programs are great. I don't have any concrete ideas for ways to improve them.,"I think the current marketing programs are strong, I don't see any obvious areas that need improvement.",n/a,
13071867748,410425338,10/25/2021 10:00:17 PM,10/25/2021 10:05:19 PM,SchemaHero,"Yes, and my needs were generally met",,10,,10,,10,N/A,,N/A,,N/A,,N/A,,10,,10,10,,10,"OSS adoption is hard to measure. This is a standard gauge that, while not perfect, it's used across all projects.",7,,10,"These are wonderful tools. When we start to plan and think about the roadmap, the adoption of existing tooling is critical and the tech radars is useful","we care deeply about diversity,  but it's still really difficult to measure. I'm not sure of a specific ask here, but visibility into diversity in maintainers and sponsors across projects would be useful","anything is welcome. more visibility (opportunities to give talks) at any event, KubeCon or smaller!",more security help for sandbox projects,
13071840280,410425338,10/25/2021 09:12:26 PM,10/25/2021 09:55:14 PM,Telepresence,No,,8,,N/A,,7,7,,7,,7,,7,,N/A,,7,7,,7,Provide some insight on activity/contributions from other companies/users.,6,,5,,"Perhaps maintainers - in general, looking for more maintainers, but, increasing the diversity at the same time may be helpful.",Currently still in sandbox mode. Perhaps some opportunity for more marketing in the future.,n/a,
13071798525,410425338,10/25/2021 09:34:11 PM,10/25/2021 09:39:08 PM,Cilium,"Yes, and my needs were generally met",,9,,10,,8,N/A,,N/A,,N/A,,N/A,,N/A,,9,9,,4,,9,,2,,Help with diversity hiring into companies already paying maintainers,More content underlining the benefits of betting on projects betting on CNCF projects instead of single vendor projects,-,
13071761123,410425338,10/25/2021 09:20:12 PM,10/25/2021 09:24:45 PM,"Operator SDK, Operator Lifecycle Manager","Yes, and my needs were generally met",,7,,9,,10,N/A,,N/A,,N/A,,N/A,,10,,9,9,"Supportive, interested staff and network",10,I have not personally used them,10,I have not personally used it,10,I have not personally used it,"None afaik. Mentorship is an interesting proposition, especially for new core members.",I am not involved with this side of things.,None that i can think of,Thanks for the constant feedback!
13071754229,410425338,10/25/2021 09:17:58 PM,10/25/2021 09:22:04 PM,"MetalLB, metal3-io","Yes, and my needs were generally met",,10,,8,,8,8,,8,,N/A,,N/A,,N/A,,8,8,,1,,1,,1,,maintainers,n/a,shared prow CI,
13071750021,410425338,10/25/2021 09:16:32 PM,10/25/2021 09:20:30 PM,KubeVirt,"Yes, and my needs were generally met",,7,,9,,6,N/A,,N/A,,N/A,,N/A,,N/A,,9,7,,9,,6,"A great idea, and nice initially it is now too large to be helpful",7,,mentorships,We are aiming to get to incubation to benefit from the existing benefits,none,You are really.good at kicking our butt to keep us moving also on this governance side
13071747856,410425338,10/25/2021 09:17:06 PM,10/25/2021 09:19:39 PM,CoreDNS,"Yes, and my needs were generally met",,10,,10,,10,10,,10,,10,,8,,10,,10,10,,10,,8,,8,,mentorships,webinars,N/A,
13071745245,410425338,10/25/2021 09:06:46 PM,10/25/2021 09:18:40 PM,CoreDNS,"Yes, and my needs were generally met",,1,,N/A,had no requests,6,10,,10,,10,,10,,N/A,Marketing needs?,8,1,I’m just a code monkey. I don’t understand this level of stuff. ,3,"I’ve looked at it, but it’s more a curiosity than anything else for me. ",1,Had not heard of it. ,1,Had not heard of it. ,Active maintainers that can do code reviews in reasonable time frame. ,My brain doesn’t operate on this wavelength. ,Can’t think of anything. ,
13071725719,410425338,10/25/2021 09:08:23 PM,10/25/2021 09:12:22 PM,virtual-kubelet,No,,N/A,,N/A,,5,10,,10,,N/A,,N/A,,N/A,,10,10,,6,,1,,1,,no need at this time,no need at this time,None,
13071210816,410425338,10/25/2021 05:58:54 PM,10/25/2021 06:17:49 PM,"LitmusChaos, OpenEBS","Yes, and my needs were generally met",,10,,10,,10,9,,10,,10,,9,,10,,10,10,"The level of support & know-how we get, in addition to the increased visibility and wonderful community -- these are some of the reasons I would suggest more OSS projects join CNCF",10,"Helps get a good view of the project status, and ready reckoner for creation of important artifacts (such as DD docs)",10,Helps understand the ecosystem better & identify important alignments. ,10,Helps assess where the users are headed and what is needed to make our projects more useful.,"Scholarships would help more interested folks, esp students to join in and make impactful contributions. ",Webinars would be great!,Most of the needs are covered. Help in taking the projects to the end user community would be great. ,One wish is for have more events like the container garage focused on specific areas within the cncf landscape! 
13071140714,410425338,10/25/2021 05:47:17 PM,10/25/2021 05:56:55 PM,Keylime,"Yes, and my needs were generally met",,3,,9,,9,N/A,,8,,6,,6,,2,,5,7,,3,,3,,2,,I'm not sure. Do you have any papers or articles about other successful efforts you've done for other projects that could give us ideas?,"Keylime participated in a booth a KubeCon NA 2021 but the support felt very bare. This was our first time at KubeCon as part of the CNCF and there were no instructions, very sparse information about what would be present and no tutorial or information about how to run a successful booth. It shouldn't be assumed that people who know how to build a software package know how to market and run a booth.",A dashboard showing the various steps to go from sandbox -> incubation -> graduation,
13070970922,410425338,10/25/2021 04:39:13 PM,10/25/2021 04:57:49 PM,Brigade,Other (please specify),"tbh, coordination with CNCF has largely been the domain of other maintainers, so I feel unfit to answer this.",2,,N/A,,5,N/A,"We have handled this internally, within the project until now. I foresee some upcoming turnover in the ranks of maintainers, including people who have been responsible for documentation and the public web site, so I think this is an area where we probably could use some assistance going forward.",N/A,"CI is one of many use cases that our product (Brigade) addresses, so we implement CI by ""dogfooding"" our own product.",N/A,"I'm aware of security audits being a thing. We have neither requested one nor been offered one, but we would be eager to engage on this front.",N/A,,N/A,I feel unqualified to answer this.,5,10,"I think it's vitally important for progress in the Cloud Native ecosystem that important projects are not governed by the agenda of a single vendor, as is too often the case with large OSS projects.",7,,7,,3,,We are actively in need of maintainers and would benefit greatly from DNI efforts that can direct talent our way.,I'm not the best person to answer this question.,N/A,"I think some sort of ""orientation"" for new (or existing!) maintainers would be helpful. I have to admit to not feeling fully aware of all the different ways CNCF can help our project succeed."
13070644145,410425338,10/25/2021 02:44:35 PM,10/25/2021 02:53:30 PM,Submariner,"Yes, and my needs were generally met",,10,,10,,10,N/A,We haven’t asked for help yet!,10,,N/A,We haven’t undertaken a CNCF security audit yet.,10,,9,,10,10,"The CNCF makes a lot of resources available even for sandbox projects; more importantly in my mind, onboarding involves checking that project governance etc. are up to scratch, and being part of the CNCF provides a way of preserving the project’s continuity if the project’s maintainers have to move on to other projects.",8,We don’t spend much time tracking contributions; perhaps we should!,3,The landscape is too busy now :-(.,3,It doesn’t appear to answer questions we particularly care about right now.,Mentorships; we intend to join the program next year.,We haven’t thought about this at all!,"Project hosting (as in the LFN, e.g. for OpenDaylight).",
13070540829,410425338,10/25/2021 01:21:10 PM,10/25/2021 02:00:26 PM,Parsec,"Yes, and my needs were generally met",,8,,N/A,No requests were made,10,10,,10,,N/A,A security audit has not been requested yet,N/A,We don't require any non-CI tooling at the moment,10,,10,8,"Even though we've not relied on CNCF resources or support for many things (so assessing those resources is difficult), I think having access to them is useful and many projects would benefit from it.",5,As a developer for the project I don't use the tool so cannot express a valid opinion on it.,5,"Similarly, as a developer for the project I don't use the tool so cannot express a valid opinion on it.",5,"Similarly, as a developer for the project I don't use the tool so cannot express a valid opinion on it.",None at the moment - we're relying on similar projects backed by Arm,From a developer's perspective - not sure,N/A,
13070066953,410425338,10/25/2021 08:25:56 AM,10/25/2021 08:45:45 AM,Contour,"Yes, and my needs were generally met",,7,,9,,8,10,"This has been an absolute highlight, the interactions with the tech docs team have been superlative, I could not be happier with the help we've got.",7,"We've been using Github Actions heavily, and are just starting to look at using more of the resources available to us. So I think this rating will go up next time. :)",9,"We've only had one security audit so far, but I was very happy with the audit, the auditors, and of course the result.",7,"We're using the DCO bot and the Codecov bot, but that's it at the moment.",7,"I'll be honest, I feel not very educated about the available options here. Marketing is not my forte, but I really feel like I don't know where to start.",8,9,"The independent governance is excellent, the staff of the CNCF are helpful and friendly, and the resources provided are really useful. I strongly recommend that open-source projects consider the CNCF if they are in the cloud-native space.",8,"The stats are very useful, although the wealth of data available means that it can take some combing through to find the most useful things. I saw some great talks at Kubecon about this info, that I'll be making more use of in the future.",3,"Contour is an ingress controller, and this field is pretty small. I already know most of the projects (and their maintainers!), so for our project it's not all that useful.",2,Contour hasn't been included in a tech radar yet.,"Helping us find more maintainers would be excellent, I have seen some of the intern/mentorship opporunities but haven't had the bandwidth to pick it up. I would be very interested in mentoring some people if they are interested in the networking area of Cloud Native.","I actually don't know! I think speaking to someone who knows more about marketing that I do would be very useful - we've got great support from Jonas and the other community folks who work for VMware, but I don't really know what to ask them for.",I honestly don't know.,"All-in-all, I'm very happy with what we get from the CNCF, and are working hard on getting ourselves ready to put our hand up for graduation."
13070053808,410425338,10/25/2021 08:27:38 AM,10/25/2021 08:32:57 AM,tikv,"Yes, and my needs were generally met",,9,,9,,9,8,,9,,10,,8,,9,,8,9,,10,,9,,7,,mentorships,webinars,None,
13070011493,410425338,10/25/2021 07:44:00 AM,10/25/2021 07:50:31 AM,"TUF, in-toto","Yes, and my needs were generally met",,7,,6,,4,8,,7,,8,,7,,6,,6,7,The conferences are really the best part.  It brings a lot of people together to learn and ask questions. ,3,,7,,2,Our project isn't represented.  I'd also like to see more of the security analysis for projects represented to see that aspect.,scholarships would be useful.  Many students at my university would like to attend events but do not have funding.,"Webinars, project booths, general advertising in plenaries and the conference itself.","Overall, services are decent.",
13069397458,410425338,10/24/2021 11:32:29 PM,10/24/2021 11:37:41 PM,Crossplane,"Yes, and my needs were generally met",,3,,10,,9,5,,10,,4,,5,,8,,5,9,Because of the freedom around governance.,5,,7,,9,,Mentorships,Documentation reviews,End user statistics about the project that is gathered via surveys.,
13068969697,410425338,10/24/2021 04:10:02 PM,10/24/2021 04:18:53 PM,ORAS,"Yes, and my needs were generally met",,10,,10,,10,10,Nate rocks ,N/A,haven’t started yet,10,,N/A,haven’t started yet ,10,just getting started ,10,10,"vendor neutral governance, enabling the community and competitors to work collaboratively on common goals",10,"unaware of them, will need to investigate ",10,,7,,none at this time ,none at this time ,none at this time ,none at this time 
13067604130,410425338,10/23/2021 02:31:24 PM,10/23/2021 02:37:37 PM,CloudEvents and Serverless WG,"Yes, and my needs were generally met",,10,,10,,10,N/A,,N/A,,N/A,,10,,10,,10,10,"I can't speak for other projects because I think we might be special, but the CNCF doesn't get in the way of us getting our job done by introducing unnecessary processes. But, knowing the support team is always there to help when needed is great.",10,"We don't actually use it because our project is a bit weird w.r.t. how to make changes, but I ranked this as ""high"" because I do know it's very valuable to other projects.",6,,6,,n/a,can't think of any right now,can't think of any right now,
13067328647,410425338,10/23/2021 09:58:27 AM,10/23/2021 10:00:30 AM,"Volcano, Kubernetes","Yes, and my needs were generally met",,10,,10,,10,10,,10,,10,,10,,10,,10,10,,10,,10,,10,,mentorships/scholarships & ci/cd,"project booths, webinars, blog","ci/cd, blog",
13067147155,410425338,10/23/2021 05:32:39 AM,10/23/2021 06:28:57 AM,KubeEdge,"Yes, and my needs were generally met",,9,,10,,8,8,,8,,7,,7,,7,,9,8,,9,,7,The landscape website is becoming slower and slower,6,It would be great to have Tech Rada for Edge Computing,Need help on having more global maintainers.,Would like to see more articles about KubeEdge get posted in multiple media,NA,
13066455259,410425338,10/22/2021 10:47:44 PM,10/22/2021 10:52:07 PM,Thanos,"Yes, and my needs were generally met",,9,,10,,8,6,We could use a hand to improve our documentation,9,,9,,9,,8,,8,9,,10,,7,,9,,More scholarships,Webinar and sponsored talks outside CNCF circle would be nice,They seem enough,
13064931855,410425338,10/22/2021 12:38:43 PM,10/22/2021 12:55:33 PM,"Thanos, Prometheus","Yes, and my needs were generally met",,8,"While I personally have good understanding, I doubt other less active maintainer have. Also I have this info because I explored service desk. I never seen any info/docs on what's available sent to our teams. Maybe that's a good idea? (: ",10,Super quickly - plus ticketing system works great. Thanks!,10,N/A,"Hm, we do all by ourselves. (: ",2,We ask periodically for CIs with higher resources what limited Gh Actions for open source projects gives. We still very much need that. Our CIs are extremely flaky AND we are missing proper VMs for periodic benchmarks ):,N/A,Never had any audit.,10,,10,,10,10,* Vibrant community  * Helpful staff that solves bigger problems (e.g legal)  * Conferences which allows talking about projects  * Statistics!  * TAG/SIGs  * If you want to be an active project with open source in heart (and less vendor pitch) it's perfect place! (: ,10,,8,We don't have any information if any of our contributors or users used it to find us. We don't use it too.     But probably helpful (: ,9,,"I believe we can do more in terms of advertising our rich mentorship capabilities. Showcases, in-university webinars/talks, stories. We only have candidates from India and sometimes US. Why nothing from Europe?","In person booths some day, would be nice (: Maybe Thanos co-located day someday, where we would announce 1.0","Cloud credits for CI. I know they were announced, but we did not see that yet. How to get those? =D","Great job overall, especially kudos to Ihor. He is always helpful and proactive!"
13064929375,410425338,10/22/2021 12:47:05 PM,10/22/2021 12:54:22 PM,Foniod,"Yes, and my needs were generally met",,8,,9,,5,N/A,We should probably utilize this more.,10,,N/A,,N/A,,N/A,,10,8,It's allowed us to include more developers due to being a company-neutral place to host the project.,1,I don't understand what utility to get out of this tool.,1,,1,We're too small for this to be useful.,Mentorships would be helpful for new maintainers or people looking for a sandbox to learn.,-,"I don't think we fully utilize all the CNCF services that we probably should in order to grow the project, so it's hard to say.",
13064861121,410425338,10/22/2021 11:58:35 AM,10/22/2021 12:22:56 PM,KubeEdge,"Yes, and my needs were generally met",,8,,9,,8,9,,6,,7,,7,,8,,8,8,,9,,8,,7,,help to do more publicity works :),"Can help us to do some publicity works, like org some webinars and publishing some articles.",Security scanning :),
13064802584,410425338,10/22/2021 11:49:09 AM,10/22/2021 11:57:13 AM,k8gb,"Yes, and my needs were generally met",,8,,9,,8,N/A,We created docs ourselves,9,,8,,8,,8,,7,10,"Vibrant community, reputation, events.",7,,10,,8,,Attract more contributors through the mentorship programs,"webinars, blogposts","simple website uptime alerting, but maybe it can be done through OpsGenie",
13064632829,410425338,10/22/2021 09:59:19 AM,10/22/2021 10:16:35 AM,Falco,"Yes, but my needs were not generally met",,7,,9,,4,N/A,Falco community is autonomously taking care of that,N/A,Falco community is autonomously taking care of that,6,,N/A,,7,,6,8,Overall CNCF is doing a good job.,8,,7,,6,,Not sure,Not sure,"Some projects simply need a K8s cluster with prow for their CI. I'm not entirely sure if the CNCF already offers such a service, but it would be nice to have it.",
13064607736,410425338,10/22/2021 09:50:06 AM,10/22/2021 09:54:57 AM,Cortex,"Yes, and my needs were generally met",,9,,10,,8,6,,10,,6,,10,,7,,8,8,CNCF is supportive and a great spotlight for OSS projects.,9,Gives a good overview on contributions and its trend over time.,5,I've always found it quite chaotic. Less is more.,6,,"To get new maintainers we need new contributors first. So I would suggest to invest into mentorships and scholarships programs, ideally with some support from companies involved in the OSS project too. Reason is that we typically see mentee abandoning the project once their program ends, while would be great if companies could pick up from there and hire some mentees to keep having them contributing to OSS.",Conference talks.,Happy with the current ones.,
