What is your geographic location?,What is the size of your company/organization?,What is your job function? Please select all that apply.,,What industry does your company/organization belong to?,,Which of the following cloud or data center models does your company/organization use?,,"Which, if any, of the following projects do you use for observability?",,,,,,,,,,,,"What practical, technical, or cultural challenges have you experienced or do you foresee using these projects - please select all that apply:",,,,,,,,,"Observability is a broad field. How many different tools does your organization use for monitoring, gathering logging and tracing data, and for metrics?",,What is your greatest challenge in observability - select all that apply:,,,,,,,,,,"What, if any, concerns do you have about making greater use of cloud native observability projects or products? Please select all that apply from the following list:",,,,,,,,,,,,,How do you run your observability tools - select all that apply. (Providing tools as-a-service internally still counts as self-managed):,,,,,,,,"Which of the following matter most for observability in your daily operations - please rank each in order from 1 - 9, with 1 being most important:",,,,,,,,,,,"Rank the following in order of importance when selecting observability tools from 1 to 6, with 1 being the most important:",,,,,,,What are your top priorities or projects in observability for the next year - select all that apply:,,,,,,,,,,"The CNCF Technical Advisory Group (TAG) Observability provides a number of resources which include the Cloud Native Observability whitepaper and online sessions. What would you like the TAG to provide you with most to monitor, audit, and instrument your cloud native and legacy infrastructure?To get involved with TAG Observability, join the TAG meetings @ 1600 UTC, 1st and 3rd Tuesdays of each month; join the mailing List: cncf-tag-observability@lists.cncf.io; or chat on CNCF Slack #tag-observability.",,,,
Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Other (please specify),None of the above,Cortex,OpenMetrics,Prometheus,Thanos,Fluentd,Jaeger,OpenTelemetry,OpenTracing,Chaos Mesh,Litmus,Other (please specify),Difficult to install,Lack of supporting documentation,Too complex to understand or run,Doesn’t work well with my existing deployment tools or infrastructure,Code bugs,Security vulnerabilities,Management discourages use of/doesn’t see value of open source,Concern open source projects could be abandoned or become inactive,Other (please specify),Response,More than 20 (please specify),None of the above,Lack of resources,Shortage of skills,Lack of understanding of the benefits,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,Lack of leadership from management,Complexity,Other (please specify),None - I don't have any concerns,Security,Hidden costs,Integration,Ease of management,"Maturity of code, features, and project",Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,Mapping and understanding dependencies and integrations,Optimizing them,Lack of resources/expertise,Other (please specify),None of the above,As-a-Service on public cloud,As-a-Service on private cloud,As-a-Service on-prem,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,Other (please specify),Metrics,Logs,Traces,Profiles,Crash dumps,Events,Monitoring,Alerts,Diagnostics,Analytics,Other (please specify),Cost,Open source,Breadth and maturity of features,Complexity of deployment and use,Integration with existing tools/stack,Option to purchase commercial support,Other (please specify),None of the above,Develop a strategy,Secure budget and resources,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,Other (please specify),I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,Other (please specify)
North America,"More than 5,000",SRE / DevOps Engineer,,Financial Services,,Hybrid Cloud (i.e. both),,,,,,,,,OpenTelemetry,,,,,,,,,,,,,Training,1-9,,,Lack of resources,Shortage of skills,,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,,,,,,,,,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,Optimizing them,Lack of resources/expertise,,,As-a-Service on public cloud,,,,,Self-managed on-prem,,2,3,1,2,3,4,1,2,,1,,3,4,1,1,2,1,,,Develop a strategy,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
North America,"More than 5,000",Engineering Manager,,Consumer,,Hybrid Cloud (i.e. both),,,,,,,,,OpenTelemetry,,,,,,,Too complex to understand or run,,,,,,"There are a lot of docs, but a lot of them are outdated because of the rapid iteration",1-9,,,,,Lack of understanding of the benefits,No strategy,Engineers and teams using multiple tools,,,,,,,,,,,,,,,,,"Overhead of managing all the building blocks, including otel collector, traces backend, traces visualization tool",,,,,Self-managed on public cloud,,,,2,8,9,4,,3,4,5,7,6,,5,1,2,6,3,4,,,,,,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",,,,I haven’t heard of the CNCF TAG Observability or its work,,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Asia,"More than 5,000",SRE / DevOps Engineer,,Telecommunications,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,,OpenTelemetry,,,,,,,,,,,Management discourages use of/doesn’t see value of open source,Concern open source projects could be abandoned or become inactive,,1-9,,,,Shortage of skills,,No strategy,Engineers and teams using multiple tools,,Lack of leadership from management,,,,,,Integration,Ease of management,,,,Ability to evaluate competing or complementary projects/products on a like-for-like basis,Mapping and understanding dependencies and integrations,,,,,As-a-Service on public cloud,,,,,,,2,1,3,5,6,6,1,1,4,8,,1,4,2,1,1,1,,,,Secure budget and resources,,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
South and Central America,"1,000-4,999",Back-end Developer,,Financial Services,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,,,OpenTracing,,,,,,Too complex to understand or run,,,,,,,10-15,,,,Shortage of skills,Lack of understanding of the benefits,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,,,,,,Hidden costs,,Ease of management,"Maturity of code, features, and project",,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,,Optimizing them,,,,As-a-Service on public cloud,,,Self-managed on public cloud,,Self-managed on-prem,,9,8,8,9,5,8,8,9,7,9,,5,4,5,6,6,3,,,Develop a strategy,Secure budget and resources,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,Develop best practices,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
North America,"More than 5,000",SRE / DevOps Engineer,,Healthcare,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,"More than 5,000",SRE / DevOps Engineer,,Healthcare,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,"More than 5,000",SRE / DevOps Engineer,,Healthcare,,Only Public Cloud,,,,OpenMetrics,Prometheus,,,,OpenTelemetry,OpenTracing,,,New relic,,,,Doesn’t work well with my existing deployment tools or infrastructure,Code bugs,,Management discourages use of/doesn’t see value of open source,,Lack of institutional buy in,1-9,,,,,Lack of understanding of the benefits,No strategy,,Organization - presence of process and team silos,Lack of leadership from management,Complexity,Failure,,,,Integration,,,,,,,,,,,As-a-Service on public cloud,,As-a-Service on-prem,,,,Dysfunctional hybrid model,3,3,6,7,5,5,5,3,8,3,,2,1,5,4,5,4,,,Develop a strategy,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Europe,"1,000-4,999",SRE / DevOps Engineer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,"More than 5,000",SRE / DevOps Engineer,,Healthcare,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,,OpenTelemetry,OpenTracing,,,,,,,,,,,,I didn't face any issues so far.,16-20,,,,,,No strategy,,,,,,None - I don't have any concerns,,,,,,,,,,,,,,,,,Self-managed on public cloud,,,,5,1,1,5,2,1,1,1,3,4,,1,1,1,1,1,2,,,Develop a strategy,Secure budget and resources,Adopt tools to collect application and network telemetry data,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,,,,
North America,"More than 5,000",Software Architect,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,"More than 5,000",Back-end Developer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,Jaeger,,,,,,,,Too complex to understand or run,Doesn’t work well with my existing deployment tools or infrastructure,,,,,,10-15,,,,,,,Engineers and teams using multiple tools,Organization - presence of process and team silos,,,,None - I don't have any concerns,,,,,,,,,,,,,,As-a-Service on public cloud,As-a-Service on private cloud,,,,,,8,8,4,3,4,6,8,7,4,5,,2,6,4,4,5,3,,,,,,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues",,,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,,A series of hosted talks would have the most impact,
Europe,"More than 5,000",Engineering Manager,,Retail,,Hybrid Cloud (i.e. both),,,,,,,,,OpenTelemetry,,,,,Difficult to install,Lack of supporting documentation,Too complex to understand or run,,,,,,,10-15,,,,Shortage of skills,Lack of understanding of the benefits,No strategy,Engineers and teams using multiple tools,,,Complexity,,,,Hidden costs,,,,,,,,,Lack of resources/expertise,,,As-a-Service on public cloud,,As-a-Service on-prem,Self-managed on public cloud,,Self-managed on-prem,,3,2,1,1,4,3,1,1,4,2,,1,4,1,1,1,2,,,Develop a strategy,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,,Reference architectures and frameworks would be ideal,,A series of hosted talks would have the most impact,
Europe,500-999,SRE / DevOps Engineer,,Software / Technology,,Only Public Cloud,,,,,Prometheus,,,Jaeger,OpenTelemetry,,,,Grafana,,,,,,,,,"Difficult to correlate different sources of information. Eg: metrics in prometheus, traces in Jaeger, logs somewhere else, ...",1-9,,,,,,,,,,,"Difficult to correlate different sources of information. Eg: metrics in prometheus, traces in Jaeger, logs somewhere else, ...",,,Hidden costs,,,,,,,,,,,,,,,Self-managed on public cloud,,,,1,3,5,9,9,7,1,1,9,9,,2,2,2,3,1,6,,,,,,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,10-49,DevOps Management,,Financial Services,,Only Public Cloud,,,,,,,,Jaeger,OpenTelemetry,,,,,,,Too complex to understand or run,Doesn’t work well with my existing deployment tools or infrastructure,,,,,,1-9,,,,Shortage of skills,Lack of understanding of the benefits,,,,,,,,,,Integration,,,,,,Mapping and understanding dependencies and integrations,,,,,,,,Self-managed on public cloud,,,,5,5,7,6,7,5,2,5,2,2,,5,4,6,4,6,2,,,,,Adopt tools to collect application and network telemetry data,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,,,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,"1,000-4,999",SRE / DevOps Engineer,,Financial Services,,Only Public Cloud,,,Cortex,,Prometheus,,Fluentd,,OpenTelemetry,,,,,,,Too complex to understand or run,,,,,,Cultural momentum of around existing tools (Grafana/Prometheus/traditional metrics),1-9,,,Lack of resources,,Lack of understanding of the benefits,,,Organization - presence of process and team silos,Lack of leadership from management,,,,,Hidden costs,,,,,,,Mapping and understanding dependencies and integrations,Optimizing them,,,,As-a-Service on public cloud,As-a-Service on private cloud,,,,Self-managed on-prem,,6,5,2,5,5,2,5,2,5,2,,3,3,2,1,3,1,,,,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",,Link IT performance issues with business outcomes,,,,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
North America,50-99,Developer Relations,,Software / Technology,,Only Public Cloud,,,,,,,,,OpenTelemetry,,,,Honeycomb,,Lack of supporting documentation,Too complex to understand or run,,,,,,,1-9,,None of the above,,,,,,,,,,None - I don't have any concerns,,,,,,,,,,,,,,As-a-Service on public cloud,,,,,,,3,1,9,9,7,5,1,9,7,7,,4,2,6,5,4,4,,,,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues",,Develop best practices,,,,,,A series of hosted talks would have the most impact,
Asia,"1,000-4,999",SRE / DevOps Engineer,,Government,,Only Private Cloud / On Premise,,,,,Prometheus,,,,,,,,,,,Too complex to understand or run,,,,,,,1-9,,,,,,No strategy,Engineers and teams using multiple tools,,Lack of leadership from management,,,,,,,,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,,,Lack of resources/expertise,,,,,,,,Self-managed on-prem,,4,2,5,1,6,5,3,2,5,7,,1,1,2,2,2,3,,,Develop a strategy,,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data",,,,,,I haven’t heard of the CNCF TAG Observability or its work,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
Europe,"1,000-4,999",Other (please specify),Solutions Architect,Software / Technology,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,"More than 5,000",Engineering Manager,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,10-49,SRE / DevOps Engineer,,Manufacturing,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,,,,,,,,,,Doesn’t work well with my existing deployment tools or infrastructure,,,,,,1-9,,,Lack of resources,Shortage of skills,,No strategy,Engineers and teams using multiple tools,,,,,,,,,Ease of management,,,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",,Mapping and understanding dependencies and integrations,,,,,As-a-Service on public cloud,,,Self-managed on public cloud,,,,8,9,1,1,1,5,7,5,1,3,,5,6,6,4,2,1,,,Develop a strategy,,,"Establish a centralized system to capture, analyze and monitor data",,"Establish a single, unified view of the technology stack/platform",,,,,Reference architectures and frameworks would be ideal,,,
North America,"More than 5,000",SRE / DevOps Engineer,,Consumer,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,"1,000-4,999",DevOps Management,,Scientific or technical services,,Hybrid Cloud (i.e. both),,,Cortex,,Prometheus,Thanos,,,,,,,,,,,,,Security vulnerabilities,,,,1-9,,,,,Lack of understanding of the benefits,No strategy,,,,,,,Security,,,,,,,,Mapping and understanding dependencies and integrations,,,,,As-a-Service on public cloud,,,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,,5,7,7,6,2,,4,7,,7,,5,5,2,4,5,4,,,,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
Europe,"1,000-4,999",Other (please specify),Performance & Observability engineer,Software / Technology,,Hybrid Cloud (i.e. both),,,,OpenMetrics,Prometheus,Thanos,Fluentd,Jaeger,OpenTelemetry,OpenTracing,,,loki,,Lack of supporting documentation,,,,,,,clusture around observability within our company,1-9,,,Lack of resources,,Lack of understanding of the benefits,,,Organization - presence of process and team silos,Lack of leadership from management,,,,,,Integration,Ease of management,,,,,,,Lack of resources/expertise,,,,,,Self-managed on public cloud,Self-managed in private cloud,Self-managed on-prem,,8,9,4,6,3,3,8,9,7,5,,2,1,3,3,2,6,,,,,Adopt tools to collect application and network telemetry data,,,"Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,A series of hosted talks would have the most impact,
North America,"1,000-4,999",SRE / DevOps Engineer,,Financial Services,,Only Public Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,"1,000-4,999",SRE / DevOps Engineer,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,,Fluentd,,,,,,,,,,,,,,Concern open source projects could be abandoned or become inactive,,1-9,,,,Shortage of skills,Lack of understanding of the benefits,No strategy,Engineers and teams using multiple tools,Organization - presence of process and team silos,Lack of leadership from management,,,,Security,,Integration,Ease of management,"Maturity of code, features, and project",Level of support and long-term future,"Mastering new technologies, architectures, and concepts - such as elasticity or micro-services",Ability to evaluate competing or complementary projects/products on a like-for-like basis,,Optimizing them,,,,,,,Self-managed on public cloud,,,,1,3,1,5,9,3,1,1,1,5,,6,3,1,1,1,1,,,Develop a strategy,,Adopt tools to collect application and network telemetry data,"Establish a centralized system to capture, analyze and monitor data","Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",Develop best practices,Link IT performance issues with business outcomes,,I haven’t heard of the CNCF TAG Observability or its work,,,,
Europe,"1,000-4,999",Developer Relations,,Software / Technology,,Hybrid Cloud (i.e. both),,,,,Prometheus,,,Jaeger,OpenTelemetry,,,Litmus,CloudEvents,,Lack of supporting documentation,,,Code bugs,Security vulnerabilities,,,,16-20,,,,,,,Engineers and teams using multiple tools,Organization - presence of process and team silos,,,,,,Hidden costs,Integration,,,,,,,Optimizing them,,,,As-a-Service on public cloud,,As-a-Service on-prem,Self-managed on public cloud,,Self-managed on-prem,,9,8,7,5,5,9,9,9,6,3,,6,6,5,6,6,3,,,,,,,"Provide engineers with tools and data to identify, preempt, respond to and triage issues","Establish a single, unified view of the technology stack/platform",,,,,Reference architectures and frameworks would be ideal,Tools and projects that fill gaps in the observability space would be better,,
Asia,50-99,SRE / DevOps Engineer,,Financial Services,,Only Private Cloud / On Premise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,"More than 5,000",Software Architect,,Financial Services,,Hybrid Cloud (i.e. both),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,100-499,Product/Project Management,,Professional Services,,Only Private Cloud / On Premise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
