My employer is (select one):,Which CNCF Project(s) are you currently maintaining?,Do you participate in a Technical Advisory Group?,,Do you interact with or engage with other CNCF projects outside of the ones you maintain? Which ones?,,"Would you recommend CNCF to other open source projects, and why?",,"Are you satisfied with the overall support your project receives from CNCF (e.g., marketing, budget, scholarships, events etc)",,Did you feel that the CNCF staff responded quickly to your requests?,,"Do you have a good understanding of the resources and programs available to you (i.e., CNCF ServiceDesk)?",,Do you have a good understanding of the Technical Oversight Committee and Technical Advisory Groups and know how to engage with them?,,"Do you find the metrics provided by the CNCF (DevStats, CloMonitor, Project Health) valuable for the needs of your project?",,Did you feel that the Technical Oversight Committee responded quickly to your requests?,,What project benefits are you satisfied the most with?,"If you have applied to move levels, did the process for moving levels match your expectations? Why or why not? If you haven’t applied, why not?",How do you feel about the current requests and requirements of projects moving levels or after graduation?,What services do you wish the CNCF provided that it doesn't currently?,"Any other feedback that you wish to share, from what CNCF can do more or what we should do less?"
A vendor of cloud technology,LitmusChaos,No,,Yes,"Kyverno, Keptn, Prometheus",Strongly agree,,Strongly agree,,9,,9,,9,,Strongly agree,,8,,The project benefits I am most satisfied with include my involvement in the CNCF Mentorship program and the Google Summer of Code.,"Regarding moving levels within the organisation, while we haven't yet applied, our team is gearing up to apply for CNCF graduation soon. We are fully aware that the graduation process is quite challenging and demanding. However, our expectations are in line with this understanding. We recognise the rigorous nature of the CNCF graduation process as a necessary and valuable step to ensure the maturity and sustainability of projects under its umbrella.","The requirements set by CNCF for projects moving up levels or after graduation are vital. They guarantee that projects meet high-quality and sustainability standards, encouraging ongoing improvement. This process not only enhances the projects but also boosts their standing in the tech community.",Project Maintainer Meetups and KubeCon Sponsorships for Maintainers :),
A vendor of cloud technology,gRPC,No,,Yes,"Istio, Kubernetes",7,,8,,8,,8,,8,,8,,4,,Events support,"No, the process is vague and unclear and arbitrary. gRPC was not approved for graduation while other projects that are far less adopted were.","See above - it's arbitrary and is to the whims of TOC members, each of whom has their own idea about what graduation means.",full time tech writer,Amye is amazing and so helpful! Thanks to her for keeping things running smoothly.
A vendor of cloud technology,"Operator Framework: Operator Lifecycle Manager, Operator SDK",No,,Yes,"CAP, Kubebuilder, Controller Runtime",Strongly agree,It's an incredibly supportive organization that increases the visibility of your project!,Strongly agree,I feel that CNCF does a ton for our project.,Strongly agree,Amye is a superstar that always responds quickly and with helpful complete answers!,Strongly agree,We've received multiple communications about the services offered via CNCF,7,I haven't taken direct advantage of these resources.,Strongly agree,These are awsome for project discovery and insight!,N/A,"Again, haven't reached out.",Honestly just having a presence at Kubecon in order to connect with our users is incredible. Beyond that the CNCF provides a great way for users to discover our project which is extremely helpful.,"N/A, we are planning to make a move once we redesign some core features / workflows of our project.",They seem fair.,Sponsering Internships for CNCF projects would be amazing.,"Not right now, you are doing a great job!"
An End User company (not involved in direct monetization of CNCF projects),LitmusChaos,No,,Yes,"CNF, Kyverno, Pumba",Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,"Community Growth and Engagement: Seeing an active, growing community around LitmusChaos can be highly satisfying. This includes contributions from community members, active discussions on forums, and collaboration on new features or improvements. Industry Recognition and Adoption: Knowing that LitmusChaos is being adopted by various companies and is gaining recognition in the industry can be a source of satisfaction. This might include seeing the tool being used in real-world scenarios, which validates the effort put into the project. Technical Excellence and Innovation: Maintaining a high standard of technical excellence, with robust, reliable, and innovative features, can be a key point of satisfaction. This involves continuous improvement in the project's capabilities and staying ahead in the field of chaos engineering.","We have successfully completed the advancement of our project within the Cloud Native Computing Foundation (CNCF), moving from the 'landscape' stage to the 'incubation' level. This transition aligns perfectly with our expectations and represents a significant achievement in our project's development. It reflects the dedication and hard work our team has invested in meeting the CNCF's rigorous standards and criteria for this crucial progression","I believe that the guidelines and requirements set forth for projects advancing through different levels or post-graduation are highly beneficial and well-conceived. These criteria not only ensure a consistent standard of quality and innovation but also provide a clear roadmap for project development and sustainability. The rigor and thoroughness of these requirements foster an environment of excellence and collaborative growth, ensuring that each project not only meets but exceeds the expectations of the community. This structured approach is instrumental in driving forward the frontiers of technology and community engagement, making it a commendable and valuable aspect of the project development lifecycle within organizations like the CNCF.",Expanded mentorship programs for more personalized guidance. Business and marketing support to help projects grow and gain visibility. Legal and compliance assistance for navigating open-source licensing and regulations. Access to advanced technical infrastructure and tools for project development. Increased initiatives for diversity and inclusion within the CNCF community. Efforts to expand the global reach and engage with a more diverse range of geographical locations. User experience and design support to improve project adoption and satisfaction.,
A vendor of cloud technology,"CRI-O, Kubernetes",No,,Yes,,Strongly agree,Great ecosystem and support.,Strongly agree,,Strongly agree,,8,,8,,Strongly agree,,Strongly agree,,"Maintainer track talks, booths, CI",Yes,The processes are fair.,Can't think of anything,
A vendor of cloud technology,Litmuschaos,Yes,,No,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,"Hosting, webinars, KubeCon sessions","Yes, the process was clear",About to start the process to move to Graduation,Ability to under the adoption of the project with tracking tools like GA and Scarf,
A vendor of cloud technology,containerd,No,,Yes,"distribution, kubernetes",7,It is good for visibility and provides helpful resources. Not ideal for independent or projects which a sponsoring company.,6,Could use more marketing and documentation help.,Strongly agree,,Strongly agree,,7,The role of TAGs for existing projects isn't always clear. We often hear about the initiatives after they are being implemented.,9,,N/A,,Events and services such as Github enterprise and mailing lists.,"Yes, the process for fair and concise when becoming graduated.",Strict requirements and adhering to them preserves the integrity of the levels. In some cases it seems level moves were done even without meeting all the requirements just because a significant amount of time had passed or it was pushed on hard enough. Projects should continue to be evaluated to make sure they continue to meet the requirements.,Documentation help! We don't have any skilled technical writers contributing to our project and badly need improvements with this skill set. We don't have any company sponsoring this today.,
A vendor of cloud technology,Keylime,No,,Yes,"SPIFFE/SPIRE, Kubernetes",7,,6,,7,,5,,4,,5,,7,,We haven't used many beneifts from the CNCF,We weren't aware of the requirement to be used by non cloud-vendor companies.,"Since Keylime is a security tool and lots of groups are hesistant to publicly talk about their security postures, it's hard to show adoption outside of vendors, even though we know they are using it in production.",Not sure.,"It's hard to know. Except for wanting us to fill out this survey and provide a yearly progress report, we don't get contacted by the CNCF much."
Neither,Keylime,No,,No,,9,,N/A,,N/A,,6,,7,not that much involved in this aspect of the project,N/A,"They are helpful, but currently not that much used by us",N/A,,The Slack channel,"We plan to do this in the future, but haven't gotten around to it yet.",They sound reasonable.,None,
A vendor of cloud technology,LitmusChaos,Yes,,Yes,,Strongly agree,There is excellent guidance and it is a thriving community,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,"The help with publishing updates, webinars & the support in KubeCon (via project meeting, booth & the maintainer track)","Yes, we did move from sandbox to incubation & hope to graduate in future.  The review process underwent some changes during the course of our application, but it seems well documented and transparent as of today",Projects receiving a lot of traction & adoption should move levels to provide confidence to the end users. It also provides a lot of motivation to the maintainers & the project contributors.,We have a significant amount of support already!,
Neither,Artifact Hub,No,,No,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,8,,8,,7,,Having a neutral home for the project,"Not really. It's a bit too slow, and finding a sponsor can take a long time. We applied for incubation on Oct 2021 and the process isn't over yet (as of Dec 23).","Mostly fine, although they could be a bit more flexible to accommodate projects that don't match the usual criteria.",-,
An End User company (not involved in direct monetization of CNCF projects),curve,Yes,,No,,9,,8,,9,,9,,9,,8,,8,,It is of great help to the visibility of the project.,You haven’t applied yet because the maturity of the project does not yet meet the corresponding level requirements.,no comment,no,
A vendor of cloud technology,https://github.com/nocalhost/nocalhost,Yes,,No,,9,,9,,9,,6,,7,,8,,9,,Help developers develop applications in K8s.,haven’t applied. Because the project is not complete enough.,approval,Give the maintainer an email address to facilitate direct contact with other maintainers.,
Neither,distribution,No,,Yes,"Harbor, containerd",6,,7,,Strongly agree,,6,,4,,6,,3,,At the moment I'm basically the only person running around the clock in this project chasing other people. CNCF helps with none of that.,"We havent applied. Ideally we get more useful maintainers -- the current ones were picked ad-hos by rolling a die over commercial providers, none of whom could care any less.",No graduation on the horizon.,N/A,
A vendor of cloud technology,Flux and SOPS,No,,Yes,Helm,7,,9,,Strongly agree,,Strongly agree,,8,,9,,6,,"Security audit sponsoring, general CNCF service desk assistance","Flux has graduated, SOPS has a long road ahead before graduation. The process can be lengthy, with quite a lot of going back and forth.","The requests and level of maturity required is adequate, the time it takes for the TOC to vote can be long at times.",N/A,
An End User company (not involved in direct monetization of CNCF projects),Fluentd,No,,No,,6,,6,,6,,6,,N/A,,N/A,,N/A,,N/A,N/A,N/A,N/A,
An End User company (not involved in direct monetization of CNCF projects),"Notary Project, ORAS",No,,Yes,"Kyverno,",9,,Strongly agree,,Strongly agree,,7,I undertood the services that CNCF provided to us. But I am not sure about the scope of those services.,8,,Strongly agree,,Strongly agree,,Support from the CNCF service desk,Not yet. I feel the criteria of different levels are not straightforward enough. It would be better to have a clear,It has a guidance but seems a little vague to maintainers. It would be much helpful if CNCF TOC can host a webinar to elaborate on the requirements and answer questions related to move levels.,NA,
A vendor of cloud technology,Vineyard,No,,Yes,"Fluid, etcd",8,CNCF is extermely helpful to improve the visibility of projects in the cloud native community.,9,CNCF events like KubeCon & CloudNativeCon are very exciting.,9,We have once asked the CNCF service desk to help us on the website design. CNCF staff responded very very quickly during our collaboration.,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,CNCF's help to expose Vineyard to more end-users in the community in events like CloudNativeCon.,"We haven't applied yet, because we think vineyard still requires improvement on adoptions.",It is well-design for incubation.,"More opportunities like CloudNativeCon, blogs, and KCDs.",
An End User company (not involved in direct monetization of CNCF projects),containerd and Lima,Yes,,Yes,"Kubernetes, CNI, etc.",Strongly agree,,Strongly agree,,Strongly agree,,8,,8,,8,,Strongly agree,,"An access to GitHub Enterprise, especially for the ""larger"" GitHub Actions","- containerd: Yes - Lima: Haven't applied due to immaturity so far, but will apply soon",Good,"An access to the paid version of ChatGPT, for automating tasks, e.g., translating documents, linting,",
A vendor of cloud technology,https://github.com/hwameistor/hwameistor,No,,Yes,,Strongly agree,CNCF Projects ars very good!!,5,"We have no idea about this, but nice to have.",5,"For now, we no such requests~",6,,6,,7,,7,,We become more populated and more contributors and users come to us. This make us more closer to user.,I don't know about this.,none,none,none
A vendor of cloud technology,KubeDL,No,,Yes,Fluid,9,,7,"To be frank, my project hasn't had much engagement with the official CNCF channels. It's possible that I've missed out on several events. I'm looking forward to more support moving forward",9,,9,,8,"I am well aware of the roles of the TOC & TAG and have had the opportunity to present to the TAG Runtime group once. I am hopeful that going forward, the TAG & TOC will facilitate increased interaction and collaboration among projects, particularly those in the Sandbox stage.",Strongly agree,,8,,1. Graphic design resource helps us a lot 2. DevStat visualize develop events under our project improves observations and better capabilities planning,"Not yet, the development of our project is in early stage and need more production practices",No better suggestions at the moment.,No better suggestions at the moment.,
A vendor of cloud technology,Fluentd & Fluent Bit,No,,Yes,"Nats, Prometheus, OpenTelemetry",Strongly agree,,Strongly agree,,Strongly agree,,9,,Strongly agree,,8,,7,,Ecosystem & networking,N/A,I think now is more marketing-driven than real technical evaluations. e.g: NATS is still not graduated despite its huge adoption,Marketing,
An End User company (not involved in direct monetization of CNCF projects),"sealer, dragonfly",No,,Yes,,Strongly agree,,8,,Strongly agree,,9,,9,,9,,7,,"media support, governance guidance",Yes,good,none,
A vendor of cloud technology,Chaos Mesh,No,,No,,Strongly agree,,8,,Strongly agree,,8,,9,,Strongly agree,,9,,* CICD support  * KubeCon session,"No, I haven't. Chaos Mesh needs to get more feedback from users and build a more complete chaos engineer ecosystem",We need a list of requirements for applying for graduation projects so that we can determine when our project can start applying for higher levels.,None,
A vendor of cloud technology,open-cluster-management,No,,Yes,kubernetes,Strongly agree,,7,,9,,9,,6,,Strongly agree,,6,,devstat and project kiosk in CNCF,we are still trying to grow more users.,it makes sense to me.,Automation tools like prow. Official image and helm repo maybe.,
A vendor of cloud technology,"k8s, istio, hwameistor, clusterpedia",No,,Yes,otel,9,"CNCF is an ecosystem stemmed from k8s. Our company, DaoCloud, has an enterprise culture to promote cncf envents and reputations.",7,"Good, I know many events like kubecon, kcd, and more globally",Strongly agree,Yes,8,"Yes, understand. However, the developers are striving to write code and have no more time to maintain service desk.",9,"Yes, we applied landscape and sandbox from TAG.",Strongly agree,"Yes, I often check k8s and istio devstats.",9,Yes,"K8s, Istio",HwameiStor has an ambition to move up but the adopters and contributions may not reach the level.,It's all right.,Have no ideal,no more.
A vendor of cloud technology,Longhorn,Comments:,Not yet but would like to know about that,No,,Strongly agree,,Strongly agree,,9,,8,,8,,9,,8,,Booth at KubeCon. This gives us more opportunities to get community feedback and project promotion.,"We already moved from sandbox to incubating project, and are looking forward to promoting to graduation, which is our next target.",All requests and requirements look fine for us and reasonable to have those.,"Infra support, this is really helpful for development and testing.",
A vendor of cloud technology,Kubernetes website,No,,No,,Strongly agree,You can meet great people and level up your softskills and hardskills,Strongly agree,They offer scholarships for underrepresented groups,Strongly agree,"Yes, always.",4,Didn't know about its ServiceDesk,5,Sometimes I read about those Committees,6,Not yet. It can not be exported.,5,,Connections with other people,I have not applied since I'm focusing on my personal projects,I agree with the process,More standards,No
A vendor of cloud technology,Notary Project,No,,Yes,"ORAS, in-toto, OCI",7,,8,,Strongly agree,,7,,5,,Strongly agree,,7,,Events support,We are not ready to move levels because we are still working on adoption,They sound reasonable to me,Dedicated documentation writers,
A vendor of cloud technology,Dapr,No,,No,,8,Governance guidance.,7,,5,,4,,5,,Strongly agree,,N/A,,"DevStats, Security Review, Community Standards.",It is still ongoing.,Did not have a lot of engagement yet.,Free YubiKey for hardware based key management to improve security. Monitoring of (GitHub) credential leak.,
A vendor of cloud technology,Dapr,No,,No,,8,,8,Navigating the options is always the hardest part,9,,7,"Mostly, but it has taken me 2 years. And service desk enquires do not have any time response and may go unanswered entirely.",5,Not really.,7,"Partially. They certainly look useful. It would be good to have a session/video that explains the numbers. Also small detail, when scrolling right on the project health to see the numbers, keep the left hand column fixed, so you can see what the number are",N/A,,Support for infrastructure for the project,We have applied for move to Graduation. Would be useful if someone reached out and gave guidelines on the next steps and do we get someone to help coordinate this?,No opinion currently,"Maintainers have a very hard time of taking on multiple roles in a project. For example implementation, project management, community engagement. CNCF could be move active providing help on how best to organize a project.",
A vendor of cloud technology,Tinkerbell,No,,No,,7,It provides end users with some piece of mind around governance.,6,,Strongly agree,,5,,4,,6,,4,,The conference kiosk,We have not yet applied. We are still growning and need to improve in the number of contributors.,"Good, no concerns at the moment.",Speaking session(s) for incubating projects at Conferences.,
A vendor of cloud technology,OpenFeature,No,,Yes,OpenTelemetry,8,,7,,7,We tend to get quick responses but the deliverables typically take a while or are never actioned.,8,,9,,Strongly agree,,N/A,,Having access to GitHub enterprise through the CNCF org.,"Yes, the process was smooth and professional. It was time consuming but that's what I expected entering the process.",The process seems reasonable in my opinion.,It would be great to have access to GitHub Co-pilot and other AI tools.,It would be great to have a point of contact at the CNCF whom we could contact if we had questions. Often times I have questions about CNCF processes or benefits but I don't know who to ask.
Neither,Backstage,No,,No,,9,,9,,9,,8,,8,,6,,9,,"Presence at KubeCon, help from other maintainers and TAGs",Working towards graduation but still have some clear requirements left that we're working on,Feels sensible,"Better tools for project maintenance on GitHub. Issue + PR automation, etc.",
An End User company (not involved in direct monetization of CNCF projects),Backstage,No,,Yes,"Linkerd, K8s",Strongly agree,,8,,9,,8,,7,,9,,N/A,,"Security Audits, Docs overhaul (in progress) and KubeCons 🎉","Sandbox -> Incubation was a breeze, we're looking at applying for Graduation hopefully next year, had some other priorities first.","Think that they seem reasonable, although we haven't dug too deeply yet.","We're building integrations for a lot of services which are pretty hard for us to test without leaning on the community. Bitbucket / Azure etc, might be useful to have some test accounts there, but to be honest maybe more responsibility for us to set that up rather than the CNCF.","I'm very proud to be a CNCF project maintainer, and enjoy speaking at the maintainer track sessions that we get at KubeCon."
A vendor of cloud technology,Prometheus,No,,Yes,"Open Telemetry, Open Metrics, Kubernetes",6,,5,"KubeCon/CloudNativeCon seems to have fewer and fewer deeply technical sessions, which seems to act against its original strength (from my point of view). Prometheus in particular seems heavily underrepresented. Sure, there is PromCon and O11yDay, but those conferences shouldn't be an excuse to remove almost all Prometheus content from KubeCon. At times, the maintainer track session feels like the only one dedicated to Prometheus in depth, and it is usually packed (at the KubeCons I attended myself). I wasn't at the recent KubCon NA in Chicaco, but attendees told me that the room for the Prometheus maintainer track was extremely hard to find. Another impression was that OTel got a really nice and fancy booth via a corporate sponsorship, which gives the impression of ""pay to play"" and that projects will thrive ar wither depending on short term corporate interest, which is obviously true in real life anyway, but my hope was that a foundation like CNCF could act as a moderator between the industry players to create technical balance rather than just amplifying what would have happened without a foundation anyway (namely OSS projects only succeeding if they have a powerful corporate sponsor ""owning"" it).",N/A,,7,,7,,8,,N/A,,"""Rescuing"" PromCon (jumping in as a main sponsor etc.)when it was in rough waters post-pandemic.",Prometheus moved up the ranks very early and easily. The experience probably doesn't apply to new projects.,Cannot say.,"I understand that CNCF deliberately doesn't sponsor contributions to CNCF projects directly, but it sometimes does sponsor certain supporting services like tech writing. Maybe that could be extended to security incident management. A multi-stakeholder project like Prometheus that isn't dominated by a single company has trouble finding a corporate sponsor for a security export for whom responding to incidents and reports is part of their core job. A pull request can wait for the volunteers to get to it (even if that's frustrating at times), but that's not an option for security incidents.",
A vendor of cloud technology,Rook,No,,No,,7,Depends on the goals the project has.,8,,N/A,,8,,N/A,,9,,N/A,,Maintainer conference talks to update people about the project.,Rook is already a graduated project.,Rook is already a graduated project.,N/A,
An End User company (not involved in direct monetization of CNCF projects),Parsec,No,,No,,Strongly agree,,N/A,,Strongly agree,,4,,Strongly disagree,,N/A,,N/A,,Exposure of the projects to the wide CNCF community.,"Currently, it's not being planned by the team.",Fairly adequate.,None.,
A vendor of cloud technology,Falco,No,,No,,6,,6,,7,,8,,8,,9,,5,,"Broader community, strong community practices, foster vendor neutrality, visibility.","I didn't expect the process to be so long and cumbersome. I expected more precise guidance (which we received from individuals anyway) and significantly shorter timescales (a few months, no more than a year).","The requirements seem legitimate but are sometimes unclear. In this regard, I want to recommend two improvements: requirements must not change while a project is being evaluated, and requests must consider the project's cost to accomplish such requests.","More cloud service credits, effective translation services (especially for websites), and any other services can help maintainers manage the project community",
An End User company (not involved in direct monetization of CNCF projects),cortex,No,,Yes,thanos and prometheus,Strongly agree,,7,,7,,7,,7,,7,,7,,Ticketing support for issues have been responded in time,we are struggling to get more contributions. There are apparently way many more users than contributors.,It's ok. don't have any problems with it,I can't think of anything,
A vendor of cloud technology,"Keptn, OpenFeature",No,,Yes,"Argo, OpenTelemetry",9,It's a great place to foster collaboration with other projects,N/A,,8,,9,,9,,N/A,,N/A,,"Zoom, 1Password, Slack, Netlify","Yes, it matches my expectations",I believe they are fair,"I didn't look deeply if this service is provided, so I might be wrong here. It would be cool if the CNCF provides some support/service around UI/UX. For example, helping designing the website.",
An End User company (not involved in direct monetization of CNCF projects),Dragonfly,No,,Yes,,Strongly agree,,Strongly agree,,Strongly agree,,6,,6,,Strongly agree,,Strongly agree,,Kubecon's maintainer tracking can let more users know the latest updating of the project.,I have applied for graduation.,I hope more TOCs can know about the project and sponsor it.,Regular special promotion of the project.,
A vendor of cloud technology,Emissary-ingress,Comments:,Kind of just getting started with some,Yes,"Linkerd, Envoy, Kubernetes, Gateway API",6,I'd rather work with CNCF projects than with projects owned by closed companies.,3,"Honestly I know of very, very little support we receive other than credits to run CI... however, see my answer to question 9.",5,"I've made few requests through ServiceDesk, and they've been a mix of reasonable and kind of slow.",2,"I wonder how much of this is a lack of outreach, and how much is that when Emissary applied, it was handled by people who aren't current maintainers.",2,"I've been learning about this, but very slowly, and mostly by happenstance interactions with people working on these groups.",3,Most of these seem to mostly just add formality.,N/A,I don't think I've ever made a TOC request.,"The ones I most directly work with are CNCF-funded CI, which is lovely, and CNCF as an escrow system for governance, which I like.",N/A,"We're starting to see subprojects of graduated projects that are far from ""graduated"" maturity, and I think that there is not currently a good way to manage communications there.","I would love to see CNCF actively providing project management. There are a lot of working groups, SIGs, etc., that are all engineers with no one trying to keep everyone pulling in the same direction.",
An End User company (not involved in direct monetization of CNCF projects),ContainerSSH,No,,No,,7,,3,Not much support is available for sandbox projects,N/A,,8,,6,,5,,Strongly agree,,"CI Compute resources, useful with compute-heavy test suites.",N/A,N/A,"More outreach opportunities for non-corporate backed projects, there is a real struggle to attract contributors.",
An End User company (not involved in direct monetization of CNCF projects),Capsule,No,,Yes,Most of the tools which are designed for Kubernetes (Creating PRs and commits),9,"It's a great having such a foundation, especially the consens which comes with it.",5,"We haven't yet gotten a lot of support. We are still looking for a dedicated documentation domain, FOSSA tokens etc.",7,"Yes, but just by knowing the right people. Tickets via SD take some time.",9,,3,,6,Especially with the CLOMonitor it's difficult but there's certain checks which seems redundant to me.,6,,Having traction and being involved in the ecosystem,Seems to be going alright.,I feel like they are justified.,Companies using projects should somehow make that visible. I have talked to a lot of maintainers and for all of them at already seems like a hustle just to get some names in their adopters files. Companies which use OSS technologie should somehow credit that. It helps projects gaining traction and provides some security. I feel like it can't just be the maintainers responsibility to do marketing for a project.,
A vendor of cloud technology,Aeraki Mesh,No,,Yes,"Envoy, Istio",Strongly agree,,8,,8,,8,,6,,8,,7,,The virtual machines provided to the project by CNCF.,I haven't applied yet because I think the project is not ready to move to the next level.,"I don't look into these requirements carefully, but overall I think they're fair.",Not I think of.,
An End User company (not involved in direct monetization of CNCF projects),KCL,No,,Yes,"Kubevela, kpt, helm, kustomize",9,,9,,9,,9,,9,,9,,9,,"In CNCF, KCL can seamlessly integrate with other projects, and we can work with excellent maintainers around the world.",We haven't applied. We hope to move levels when there is more adoption and attention to the KCL project.,"We hope that when KCL have more capabilities, better experiences, richer ecological models, and more adoption, we will consider move levels.",No more ideas at the moment.,
Neither,Trickster,No,,No,,Strongly agree,The CNCF offers great support for open source projects,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,Strongly agree,,metrics,"we have not applied to move levels yet, as the maintainers have been away from the project for work/health reasons but are looking to 2024 to get back on track.",the requirements are justified and well intentioned to ensure the project is objectively ready for the next level.,none,
A vendor of cloud technology,Kubescape,Yes,,Yes,,8,,8,,9,,9,,5,,8,"Yes, but sometimes more advanced",3,the TOC is very overloaded :(,Visibility of the project: project meetings and kiosk at KubeCon (we are a sandbox project and yet to get other benefits :)),"We have applied, waiting for TOC on incubation",Fair!,"Right now, I think the most beneficial would be getting to know more adopters and getting their inputs.",
